eco_year,sumallPC1,sumallPC2,sum_meanT,sum_precip,sum_moisturedeficit,sum_PET,sum_GDD,fivedayrunning5C,fivedayrunning12C,GSLthreedayneg3C,iceoff_GL4
1991,-0.41626666923496,-0.299355016861106,7.59782608695652,242,6.3558258536611,204.428260427622,338,69,48,122,189
1992,-0.382451790398342,0.709752126458558,7.39673913043478,184,12.2294540094609,196.66365422818,322.5,58,51,150,189
1993,-0.683226557403047,1.92087278860675,6.85869565217391,167,52.5711842955119,203.994300048764,303.5,73,45,123,216
1994,0.909741834860871,1.07604718121016,9.17391304347826,132,25.4713290818455,211.708357743862,437,48,35,156,180
1995,-1.27427043298391,-0.152867338782354,7.79891304347826,334,26.5126781646961,199.836386202346,367,96,68,117,220
1996,0.429413054364392,1.40481133068835,8.83152173913044,124,36.1104062340462,214.241064634031,412.5,66,39,140,199
1997,-0.456873947723591,0.183167949336361,7.83695652173913,207,4.6646186461035,202.680643774882,340.5,69,51,139,200
1998,-1.14704744685578,-0.716403419005825,7.29347826086957,310,0.0655513192299128,189.778173382579,331,78,57,122,200
1999,-0.67281443879026,-0.932031291724989,7.81521739130435,367,1.02373184475037,206.722749650284,336,80,51,134,195
2000,0.633863269994396,0.35329406329323,9.10326086956522,160,19.0950141556514,207.639524075382,440,58,29,128,183
2001,0.155007273144634,-1.35741929295012,8.76086956521739,246,0.912081902544102,209.458476449864,411.5,58,39,86,183
2002,1.64623576968027,-0.101120730649232,10.2608695652174,161,21.0760233783342,221.653740700636,528,45,29,130,159
2003,0.634524294167993,0.336544894681118,8.84239130434783,204,15.5921647033525,207.799042970331,434,42,27,141,193
2004,-0.840080858977249,-0.528488929728744,6.27173913043478,271,3.42502559497268,196.684125430056,274.5,65,36,103,189
2005,-0.237932483097527,0.141962016249493,7.91847826086957,215,14.6188716591937,197.338161015102,375.5,77,22,115,196
2006,0.458157970819526,0.224509592064504,8.95652173913044,219,23.5116740120724,218.011707150687,416.5,74,34,130,186
2007,0.498161568890179,-0.829670516856703,9.38586956521739,228,9.15288951562638,213.778238985491,466.5,59,46,110,182
2008,-0.339292262326807,-0.576272538170005,8.17934782608696,239,0.922169437487983,202.809082817128,400.5,79,47,121,192
2009,-0.692695077145976,0.737548102250733,6.90760869565217,153,14.5905277228212,201.10779762041,310.5,76,54,130,196
2010,-0.296189282129719,0.175019694659471,8.01630434782609,192,2.87012570365731,202.391542330515,358.5,86,37,138,191
2011,-0.182302617200889,-0.624626092322814,9.17228260869565,313,4.46642390893019,212.311176531767,440.25,68,55,139,217
2012,1.6989559452332,-0.833538592173207,10.5755434782609,270,15.4581866436139,222.66590097887,548.5,23,33,135,168
2013,0.557382883112596,-0.311735980273636,9.47065217391304,177,0.988458103995005,214.99132940212,459.7,68,40,133,188
