year,def
1991,16.7130592514501
1992,40.3919277585158
1993,82.2910711870879
1994,57.9044343075635
1995,42.642431898648
1996,62.8380948352418
1997,23.1080146933657
1998,22.0100397841257
1999,14.3242846884037
2000,34.919798356463
2001,10.3710589975849
2002,26.3775008557567
2003,27.0680028509368
2004,12.9781215831825
2005,20.1513224403605
2006,51.485382730658
2007,28.0315847668367
2008,2.82457853074699
2009,16.6986755908571
2010,27.2974585967547
2011,36.995622326042
2012,30.4262558647102
2013,17.3203354718867
