water_year,fal_precip,spr_precip,sum_precip,wnt_precip,tot_precip
1991,136.89,239.85,242,280.41,899.15
1992,176.67,189.93,184,198.51,749.11
1993,146.64,300.69,167,176.28,790.61
1994,181.74,157.56,132,368.55,839.85
1995,145.86,438.75,334,251.94,1170.55
1996,212.16,286.65,124,416.91,1039.72
1997,235.17,306.93,207,449.28,1198.38
1998,195,200.46,310,281.58,987.04
1999,145.47,361.53,367,342.03,1216.03
2000,121.68,371.28,160,439.14,1092.1
2001,115.44,302.64,246,302.64,966.72
2002,166.53,168.09,161,359.19,854.81
2003,166.14,435.63,204,252.72,1058.49
2004,154.05,296.79,271,235.95,957.79
2005,182.52,274.56,215,289.38,961.46
2006,204.75,259.35,219,391.17,1074.27
2007,207.48,234,228,299.13,968.61
2008,89.7,346.71,239,409.11,1084.52
2009,121.68,241.02,153,345.54,861.24
2010,156.39,280.8,192,315.9,945.09
2011,232.05,428.22,313,492.18,1465.45
2012,173.55,90.09,270,323.31,856.95
2013,106.47,265.2,177,234.78,783.45
