siteId,labno,dateOn,dateOff,yrmonth,ph,Conduc,flagCa,Ca,flagMg,Mg,flagK,K,flagNa,na,flagNH4,NH4,flagNO3,NO3,flagCl,Cl,flagSO4,SO4,svol,ppt,subppt,valcode,invalcode,modifiedOn
CO02,NC4337OW,"1984-06-05 21:00","1984-06-12 21:00",198406,5.330,6.500," ",.270," ",.043," ",.040," ",.072," ",.180," ",1.020," ",.120," ",.740,551.000,23.370,23.370,"w ","            ",1985-03-14
CO02,NC4391OW,"1984-06-12 21:00","1984-06-19 20:10",198406,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,1670.200,32.510,32.510,"  ","u           ",1985-03-14
CO02,NC4479OW,"1984-06-19 21:15","1984-06-26 19:00",198406,6.400,29.500," ",.450," ",.061," ",5.810," ",1.730,<,.020," ",.040," ",.240," ",1.740,383.600,7.870,7.870,"w ","            ",1985-04-11
CO02,NC4706OW,"1984-06-26 20:00","1984-07-03 16:00",198406,4.930,12.100," ",.290," ",.051," ",.096," ",.062," ",.260," ",1.490," ",.110," ",1.120,556.500,10.160,10.160,"w ","            ",1992-08-13
CO02,NC4903OW,"1984-07-03 16:00","1984-07-10 15:00",198407,5.020,7.500," ",.190," ",.023," ",.039," ",.042," ",.140," ",.760," ",.100," ",.800,1366.600,23.370,23.370,"w ","            ",1992-08-13
CO02,NC5130OW,"1984-07-10 15:00","1984-07-17 15:55",198407,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,1025.500,16.000,16.000,"  ","c           ",1985-04-11
CO02,NC5196OW,"1984-07-17 15:55","1984-07-24 14:40",198407,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,1820.600,31.500,31.500,"  ","u           ",1985-04-11
CO02,NC5417OW,"1984-07-24 14:40","1984-07-31 16:00",198407,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,6256.300,95.500,95.500,"  ","u           ",1985-04-04
CO02,NC5495OW,"1984-07-31 16:00","1984-08-07 15:25",198408,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,1330.100,20.320,20.320,"  ","u           ",1985-04-04
CO02,NC5716OW,"1984-08-07 15:25","1984-08-14 14:45",198408,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,313.700,13.210,13.210,"  ","b           ",1985-04-04
CO02,NC5824OW,"1984-08-14 14:45","1984-08-21 15:00",198408,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,713.800,20.070,20.070,"  ","b           ",1985-04-04
CO02,NC6186OW,"1984-08-21 15:00","1984-08-28 17:20",198408,4.630,12.200," ",.050," ",.018," ",.015," ",.030," ",.100," ",.850," ",.070," ",.870,1431.900,21.080,21.080,"w ","            ",1985-04-04
