siteID,seas,yr,Criteria1,Criteria2,Criteria3,Ca,Mg,K,Na,NH4,NO3,Cl,SO4,pH,conduc,svol,ppt,fullChemLab,daysSample,startDate,endDate
CO02,10,1984,0,100,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,14.427,0,28,"Oct  2 1984 12:00AM","Oct 30 1984 12:00AM"
CO02,11,1984,40,100,40,.178,.030,.022,.055,.062,.569,.082,.538,5.109,5.594,2837.100,17.678,2,35,"Oct 30 1984 12:00AM","Dec  4 1984 12:00AM"
CO02,12,1984,52,100,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,7.112,0,29,"Dec  4 1984 12:00AM","Jan  2 1985 12:00AM"
CO02,6,1984,60,80,56,.309,.048,1.151,.385,.167,.949,.140,1.023,5.252,12.247,1491.100,7.391,3,28,"Jun  5 1984 12:00AM","Jul  3 1984 12:00AM"
CO02,7,1984,25,100,14,.190,.023,.039,.042,.140,.760,.100,.800,5.020,7.500,1366.600,16.637,1,28,"Jul  3 1984 12:00AM","Jul 31 1984 12:00AM"
CO02,8,1984,20,100,21,.050,.018,.015,.030,.100,.850,.070,.870,4.630,12.200,1431.900,10.008,1,35,"Jul 31 1984 12:00AM","Sep  4 1984 12:00AM"
CO02,9,1984,75,100,88,.343,.070,.081,.075,.143,.878,.205,.923,5.213,8.317,2639.600,5.841,3,28,"Sep  4 1984 12:00AM","Oct  2 1984 12:00AM"
CO02,1,1985,26,100,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,9.059,0,27,"Jan  2 1985 12:00AM","Jan 29 1985 12:00AM"
CO02,10,1985,50,100,88,.030,.011,.003,.010,.010,.089,.015,.224,5.226,4.029,1431.300,5.181,2,28,"Oct  1 1985 12:00AM","Oct 29 1985 12:00AM"
CO02,11,1985,60,100,58,.063,.021,.010,.029,.010,.425,.052,.262,5.155,4.660,909.100,18.047,3,35,"Oct 29 1985 12:00AM","Dec  3 1985 12:00AM"
CO02,12,1985,0,100,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,17.678,0,28,"Dec  3 1985 12:00AM","Dec 31 1985 12:00AM"
CO02,2,1985,0,100,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,9.829,0,28,"Jan 29 1985 12:00AM","Feb 26 1985 12:00AM"
CO02,3,1985,0,100,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,14.529,0,35,"Feb 26 1985 12:00AM","Apr  2 1985 12:00AM"
CO02,4,1985,0,100,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,17.653,0,28,"Apr  2 1985 12:00AM","Apr 30 1985 12:00AM"
CO02,5,1985,20,100,20,.260,.035,.027,.059,.400,1.730,.150,1.350,4.670,15.300,583.900,7.874,1,35,"Apr 30 1985 12:00AM","Jun  4 1985 12:00AM"
CO02,6,1985,0,100,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,2.871,0,28,"Jun  4 1985 12:00AM","Jul  2 1985 12:00AM"
CO02,7,1985,75,100,97,.100,.021,.070,.028,.030,.548,.110,.740,4.966,9.099,4351.200,6.603,3,28,"Jul  2 1985 12:00AM","Jul 30 1985 12:00AM"
CO02,8,1985,40,100,8,.230,.038,.025,.035,.270,1.630,.090,1.210,4.680,14.500,682.000,1.220,1,35,"Jul 30 1985 12:00AM","Sep  3 1985 12:00AM"
CO02,9,1985,100,100,100,.151,.035,.021,.047,.049,.520,.085,.740,4.882,8.975,4502.900,8.890,4,28,"Sep  3 1985 12:00AM","Oct  1 1985 12:00AM"
CO02,1,1986,60,100,70,.172,.046,.014,.054,.023,1.333,.129,.805,4.803,11.463,164.900,11.404,3,35,"Dec 31 1985 12:00AM","Feb  4 1986 12:00AM"
CO02,10,1986,100,100,100,.046,.007,.012,.063,.099,.558,.035,.525,5.041,6.401,3536.400,5.778,5,35,"Sep 30 1986 12:00AM","Nov  4 1986 12:00AM"
CO02,11,1986,100,100,100,.261,.037,.062,.151,.135,1.070,.131,1.023,5.219,8.471,893.900,15.921,4,28,"Nov  4 1986 12:00AM","Dec  2 1986 12:00AM"
CO02,12,1986,75,100,99,.065,.027,.017,.350,.085,.502,.096,.562,5.377,6.461,909.800,3.099,3,28,"Dec  2 1986 12:00AM","Dec 30 1986 12:00AM"
CO02,2,1986,50,100,67,.048,.008,.011,.040,.010,.352,.052,.260,5.084,5.324,650.000,23.012,2,28,"Feb  4 1986 12:00AM","Mar  4 1986 12:00AM"
CO02,3,1986,0,100,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,10.058,0,28,"Mar  4 1986 12:00AM","Apr  1 1986 12:00AM"
CO02,4,1986,0,100,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,28.650,0,28,"Apr  1 1986 12:00AM","Apr 29 1986 12:00AM"
CO02,5,1986,60,100,68,.446,.041,.032,.101,.324,1.091,.101,1.033,6.189,8.624,2308.800,8.204,2,35,"Apr 29 1986 12:00AM","Jun  3 1986 12:00AM"
CO02,6,1986,50,100,65,.104,.017,.020,.021,.134,.722,.144,.641,5.067,7.735,1209.800,4.382,2,28,"Jun  3 1986 12:00AM","Jul  1 1986 12:00AM"
CO02,7,1986,100,100,100,.245,.037,.037,.074,.067,1.071,.126,.838,4.954,9.365,5238.600,7.519,4,28,"Jul  1 1986 12:00AM","Jul 29 1986 12:00AM"
CO02,8,1986,80,100,80,.177,.023,.022,.054,.173,1.688,.085,1.228,4.638,17.365,2697.400,5.182,4,35,"Jul 29 1986 12:00AM","Sep  2 1986 12:00AM"
CO02,9,1986,75,100,52,.308,.041,.017,.156,.255,1.576,.127,1.570,4.614,17.764,876.900,2.973,3,28,"Sep  2 1986 12:00AM","Sep 30 1986 12:00AM"
CO02,1,1987,100,100,100,.190,.028,.030,.180,.073,.691,.109,.674,5.299,6.139,891.600,26.264,5,35,"Dec 30 1986 12:00AM","Feb  3 1987 12:00AM"
CO02,10,1987,100,100,100,.116,.016,.061,.132,.160,.532,.211,.669,5.093,7.581,2296.100,4.499,3,35,"Sep 29 1987 12:00AM","Nov  3 1987 12:00AM"
CO02,11,1987,75,100,87,.053,.011,.014,.062,.012,.378,.055,.240,5.186,4.828,1270.900,8.738,3,28,"Nov  3 1987 12:00AM","Dec  1 1987 12:00AM"
CO02,12,1987,100,100,100,.129,.019,.037,.127,.106,.512,.134,.432,5.259,5.279,2014.000,16.002,4,28,"Dec  1 1987 12:00AM","Dec 29 1987 12:00AM"
CO02,2,1987,100,100,100,.068,.014,.014,.093,.085,.764,.051,.362,5.137,6.787,917.000,5.385,4,28,"Feb  3 1987 12:00AM","Mar  3 1987 12:00AM"
CO02,3,1987,100,100,100,.062,.012,.061,.101,.107,.612,.141,.362,5.285,5.305,1572.600,2.534,4,28,"Mar  3 1987 12:00AM","Mar 31 1987 12:00AM"
