"date" "year" "mon" "day" "TX" "TN" "TG"
"10783" 1981-07-09 1981 7 9 20 4 12
"10784" 1981-07-10 1981 7 10 20 9 14.5
"10785" 1981-07-11 1981 7 11 24 9 16.5
"10786" 1981-07-12 1981 7 12 20 9 14.5
"10787" 1981-07-13 1981 7 13 17 5 11
"10788" 1981-07-14 1981 7 14 21 4 12.5
"10789" 1981-07-15 1981 7 15 20 3 11.5
"10790" 1981-07-16 1981 7 16 18 8 13
"10791" 1981-07-17 1981 7 17 18 6 12
"10792" 1981-07-18 1981 7 18 20 3 11.5
"10793" 1981-07-19 1981 7 19 20 0 10
"10794" 1981-07-20 1981 7 20 22 2 12
"10795" 1981-07-21 1981 7 21 24 6 15
"10796" 1981-07-22 1981 7 22 21 3 12
"10797" 1981-07-23 1981 7 23 23 6 14.5
"10798" 1981-07-24 1981 7 24 20 6 13
"10799" 1981-07-25 1981 7 25 18 5 11.5
"10800" 1981-07-26 1981 7 26 14 4 9
"10801" 1981-07-27 1981 7 27 15 1 8
"10802" 1981-07-28 1981 7 28 19 0 9.5
"10803" 1981-07-29 1981 7 29 22 2 12
"10804" 1981-07-30 1981 7 30 22 6 14
"10805" 1981-07-31 1981 7 31 22 6 14
"10806" 1981-08-01 1981 8 1 20 8 14
"10807" 1981-08-02 1981 8 2 23 5 14
"10808" 1981-08-03 1981 8 3 13 7 10
"10809" 1981-08-04 1981 8 4 23 6 14.5
"10810" 1981-08-05 1981 8 5 22 7 14.5
"10811" 1981-08-06 1981 8 6 16 4 10
"10812" 1981-08-07 1981 8 7 14 2 8
"10813" 1981-08-08 1981 8 8 16 0 8
"10814" 1981-08-09 1981 8 9 5 3 4
"10815" 1981-08-10 1981 8 10 6 2 4
"10816" 1981-08-11 1981 8 11 9 2 5.5
"10817" 1981-08-12 1981 8 12 10 3 6.5
"10818" 1981-08-13 1981 8 13 15 6 10.5
"10819" 1981-08-14 1981 8 14 16 6 11
"10820" 1981-08-15 1981 8 15 15 3 9
"10821" 1981-08-16 1981 8 16 15 2 8.5
"10822" 1981-08-17 1981 8 17 11 0 5.5
"10823" 1981-08-18 1981 8 18 17 1 9
"10824" 1981-08-19 1981 8 19 18 1 9.5
"10825" 1981-08-20 1981 8 20 20 4 12
"10826" 1981-08-21 1981 8 21 22 2 12
"10827" 1981-08-22 1981 8 22 15 3 9
"10828" 1981-08-23 1981 8 23 17 1 9
"10829" 1981-08-24 1981 8 24 12 7 9.5
"10830" 1981-08-25 1981 8 25 20 5 12.5
"10831" 1981-08-26 1981 8 26 17 5 11
"10832" 1981-08-27 1981 8 27 15 4 9.5
"10833" 1981-08-28 1981 8 28 18 2 10
"10834" 1981-08-29 1981 8 29 19 5 12
"10835" 1981-08-30 1981 8 30 20 7 13.5
"10836" 1981-08-31 1981 8 31 10 3 6.5
"10837" 1981-09-01 1981 9 1 16 0 8
"10838" 1981-09-02 1981 9 2 19 3 11
"10839" 1981-09-03 1981 9 3 12 3 7.5
"10840" 1981-09-04 1981 9 4 19 1 10
"10841" 1981-09-05 1981 9 5 18 1 9.5
"10842" 1981-09-06 1981 9 6 12 4 8
"10843" 1981-09-07 1981 9 7 6 3 4.5
"10844" 1981-09-08 1981 9 8 14 -1 6.5
