"date" "year" "mon" "day" "TX" "TN" "TG"
"10783" 1981-07-09 1981 7 9 10 2 6
"10784" 1981-07-10 1981 7 10 9 1 5
"10785" 1981-07-11 1981 7 11 15 4 9.5
"10786" 1981-07-12 1981 7 12 11 3 7
"10787" 1981-07-13 1981 7 13 9 4 6.5
"10788" 1981-07-14 1981 7 14 13 3 8
"10789" 1981-07-15 1981 7 15 11 3 7
"10790" 1981-07-16 1981 7 16 8 2 5
"10791" 1981-07-17 1981 7 17 9 2 5.5
"10792" 1981-07-18 1981 7 18 8 0 4
"10793" 1981-07-19 1981 7 19 10 0 5
"10794" 1981-07-20 1981 7 20 11 5 8
"10795" 1981-07-21 1981 7 21 13 5 9
"10796" 1981-07-22 1981 7 22 13 5 9
"10797" 1981-07-23 1981 7 23 14 3 8.5
"10798" 1981-07-24 1981 7 24 8 0 4
"10799" 1981-07-25 1981 7 25 9 -2 3.5
"10800" 1981-07-26 1981 7 26 6 -3 1.5
"10801" 1981-07-27 1981 7 27 6 -1 2.5
"10802" 1981-07-28 1981 7 28 10 0 5
"10803" 1981-07-29 1981 7 29 12 3 7.5
"10804" 1981-07-30 1981 7 30 12 5 8.5
"10805" 1981-07-31 1981 7 31 12 4 8
"10806" 1981-08-01 1981 8 1 10 4 7
"10807" 1981-08-02 1981 8 2 12 3 7.5
"10808" 1981-08-03 1981 8 3 12 5 8.5
"10809" 1981-08-04 1981 8 4 13 5 9
"10810" 1981-08-05 1981 8 5 13 4 8.5
"10811" 1981-08-06 1981 8 6 11 -1 5
"10812" 1981-08-07 1981 8 7 5 -2 1.5
"10813" 1981-08-08 1981 8 8 9 0 4.5
"10814" 1981-08-09 1981 8 9 3 -1 1
"10815" 1981-08-10 1981 8 10 4 -3 0.5
"10816" 1981-08-11 1981 8 11 3 -3 0
"10817" 1981-08-12 1981 8 12 3 -1 1
"10818" 1981-08-13 1981 8 13 6 -1 2.5
"10819" 1981-08-14 1981 8 14 8 -1 3.5
"10820" 1981-08-15 1981 8 15 7 2 4.5
"10821" 1981-08-16 1981 8 16 6 1 3.5
"10822" 1981-08-17 1981 8 17 5 -1 2
"10823" 1981-08-18 1981 8 18 9 0 4.5
"10824" 1981-08-19 1981 8 19 10 2 6
"10825" 1981-08-20 1981 8 20 10 3 6.5
"10826" 1981-08-21 1981 8 21 11 0 5.5
"10827" 1981-08-22 1981 8 22 6 -2 2
"10828" 1981-08-23 1981 8 23 5 0 2.5
"10829" 1981-08-24 1981 8 24 5 2 3.5
"10830" 1981-08-25 1981 8 25 9 2 5.5
"10831" 1981-08-26 1981 8 26 9 0 4.5
"10832" 1981-08-27 1981 8 27 6 -1 2.5
"10833" 1981-08-28 1981 8 28 10 1 5.5
"10834" 1981-08-29 1981 8 29 10 0 5
"10835" 1981-08-30 1981 8 30 7 0 3.5
"10836" 1981-08-31 1981 8 31 7 -4 1.5
"10837" 1981-09-01 1981 9 1 6 -2 2
"10838" 1981-09-02 1981 9 2 8 -3 2.5
"10839" 1981-09-03 1981 9 3 7 -4 1.5
"10840" 1981-09-04 1981 9 4 10 1 5.5
"10841" 1981-09-05 1981 9 5 9 0 4.5
"10842" 1981-09-06 1981 9 6 5 -2 1.5
"10843" 1981-09-07 1981 9 7 1 -2 -0.5
"10844" 1981-09-08 1981 9 8 9 -1 4
"10845" 1981-09-09 1981 9 9 8 -1 3.5
"10846" 1981-09-10 1981 9 10 6 -2 2
"10847" 1981-09-11 1981 9 11 6 -2 2
"10848" 1981-09-12 1981 9 12 8 0 4
"10849" 1981-09-13 1981 9 13 8 1 4.5
"10850" 1981-09-14 1981 9 14 8 -1 3.5
"10851" 1981-09-15 1981 9 15 8 -2 3
"10852" 1981-09-16 1981 9 16 7 -1 3
"10853" 1981-09-17 1981 9 17 8 -2 3
"10854" 1981-09-18 1981 9 18 11 2 6.5
"10855" 1981-09-19 1981 9 19 8 0 4
"10856" 1981-09-20 1981 9 20 8 -1 3.5
"10857" 1981-09-21 1981 9 21 5 -2 1.5
"10858" 1981-09-22 1981 9 22 8 0 4
"10859" 1981-09-23 1981 9 23 8 -2 3
"10860" 1981-09-24 1981 9 24 4 -2 1
"10861" 1981-09-25 1981 9 25 5 -6 -0.5
"10862" 1981-09-26 1981 9 26 2 -9 -3.5
"10863" 1981-09-27 1981 9 27 7 -4 1.5
"10864" 1981-09-28 1981 9 28 10 1 5.5
"10865" 1981-09-29 1981 9 29 8 0 4
"10866" 1981-09-30 1981 9 30 4 -5 -0.5
"10867" 1981-10-01 1981 10 1 7 -2 2.5
"10868" 1981-10-02 1981 10 2 7 -2 2.5
"10869" 1981-10-03 1981 10 3 -1 -5 -3
"10870" 1981-10-04 1981 10 4 8 -5 1.5
"10871" 1981-10-05 1981 10 5 -3 -7 -5
"10872" 1981-10-06 1981 10 6 4 -6 -1
"10873" 1981-10-07 1981 10 7 3 -3 0
"10874" 1981-10-08 1981 10 8 10 -6 2
"10875" 1981-10-09 1981 10 9 -4 -8 -6
"10876" 1981-10-10 1981 10 10 2 -7 -2.5
"10877" 1981-10-11 1981 10 11 6 -6 0
"10878" 1981-10-12 1981 10 12 -3 -8 -5.5
"10879" 1981-10-13 1981 10 13 -2 -8 -5
"10880" 1981-10-14 1981 10 14 -5 -10 -7.5
"10881" 1981-10-15 1981 10 15 -7 -10 -8.5
"10882" 1981-10-16 1981 10 16 -7 -15 -11
"10883" 1981-10-17 1981 10 17 -12 -15 -13.5
"10884" 1981-10-18 1981 10 18 -9 -13 -11
"10885" 1981-10-19 1981 10 19 -4 -9 -6.5
"10886" 1981-10-20 1981 10 20 -4 -9 -6.5
"10887" 1981-10-21 1981 10 21 -5 -12 -8.5
"10888" 1981-10-22 1981 10 22 -9 -14 -11.5
"10889" 1981-10-23 1981 10 23 -8 -14 -11
"10890" 1981-10-24 1981 10 24 -12 -19 -15.5
"10891" 1981-10-25 1981 10 25 -13 -20 -16.5
"10892" 1981-10-26 1981 10 26 -2 -12 -7
"10893" 1981-10-27 1981 10 27 -1 -7 -4
"10894" 1981-10-28 1981 10 28 -2 -8 -5
"10895" 1981-10-29 1981 10 29 -4 -16 -10
"10896" 1981-10-30 1981 10 30 -13 -18 -15.5
"10897" 1981-10-31 1981 10 31 -11 -20 -15.5
"10898" 1981-11-01 1981 11 1 -5 -12 -8.5
"10899" 1981-11-02 1981 11 2 -4 -11 -7.5
"10900" 1981-11-03 1981 11 3 -1 -10 -5.5
"10901" 1981-11-04 1981 11 4 -5 -10 -7.5
"10902" 1981-11-05 1981 11 5 -5 -12 -8.5
"10903" 1981-11-06 1981 11 6 -5 -9 -7
"10904" 1981-11-07 1981 11 7 -6 -10 -8
"10905" 1981-11-08 1981 11 8 -9 -14 -11.5
"10906" 1981-11-09 1981 11 9 -8 -15 -11.5
"10907" 1981-11-10 1981 11 10 -2 -12 -7
"10908" 1981-11-11 1981 11 11 -4 -11 -7.5
"10909" 1981-11-12 1981 11 12 -2 -12 -7
"10910" 1981-11-13 1981 11 13 -4 -9 -6.5
"10911" 1981-11-14 1981 11 14 -5 -10 -7.5
"10912" 1981-11-15 1981 11 15 -7 -11 -9
"10913" 1981-11-16 1981 11 16 -2 -8 -5
"10914" 1981-11-17 1981 11 17 2 -7 -2.5
"10915" 1981-11-18 1981 11 18 -7 -18 -12.5
"10916" 1981-11-19 1981 11 19 -13 -19 -16
"10917" 1981-11-20 1981 11 20 -9 -14 -11.5
"10918" 1981-11-21 1981 11 21 -10 -14 -12
"10919" 1981-11-22 1981 11 22 -7 -13 -10
"10920" 1981-11-23 1981 11 23 -7 -14 -10.5
"10921" 1981-11-24 1981 11 24 -3 -8 -5.5
"10922" 1981-11-25 1981 11 25 -6 -21 -13.5
"10923" 1981-11-26 1981 11 26 -11 -22 -16.5
"10924" 1981-11-27 1981 11 27 -10 -18 -14
"10925" 1981-11-28 1981 11 28 -13 -19 -16
"10926" 1981-11-29 1981 11 29 -10 -16 -13
"10927" 1981-11-30 1981 11 30 -18 -27 -22.5
"10928" 1981-12-01 1981 12 1 -17 -22 -19.5
"10929" 1981-12-02 1981 12 2 -12 -17 -14.5
"10930" 1981-12-03 1981 12 3 -13 -14 -13.5
"10931" 1981-12-04 1981 12 4 -4 -10 -7
