"date" "yr" "mon" "d" "TX" "TN" "TG"
"177" 1982-01-01 1982 1 1 -10 -15 -12.5
"178" 1982-01-02 1982 1 2 -14 -20 -17
"179" 1982-01-03 1982 1 3 -19 -22 -20.5
"180" 1982-01-04 1982 1 4 -10 -22 -16
"181" 1982-01-05 1982 1 5 -10 -12 -11
"182" 1982-01-06 1982 1 6 -12 -27 -19.5
"183" 1982-01-07 1982 1 7 -17 -26 -21.5
"184" 1982-01-08 1982 1 8 -13 -19 -16
"185" 1982-01-09 1982 1 9 -8 -13 -10.5
"186" 1982-01-10 1982 1 10 -11 -13 -12
"187" 1982-01-11 1982 1 11 -9 -16 -12.5
"188" 1982-01-12 1982 1 12 -17 -21 -19
"189" 1982-01-13 1982 1 13 -16 -22 -19
"190" 1982-01-14 1982 1 14 -13 -16 -14.5
"191" 1982-01-15 1982 1 15 -16 -17 -16.5
"192" 1982-01-16 1982 1 16 -11 -17 -14
"193" 1982-01-17 1982 1 17 -7 -10 -8.5
"194" 1982-01-18 1982 1 18 -8 -13 -10.5
"195" 1982-01-19 1982 1 19 -9 -13 -11
"196" 1982-01-20 1982 1 20 -14 -16 -15
"197" 1982-01-21 1982 1 21 -11 -16 -13.5
"198" 1982-01-22 1982 1 22 -17 -25 -21
"199" 1982-01-23 1982 1 23 -13 -26 -19.5
"200" 1982-01-24 1982 1 24 -7 -12 -9.5
"201" 1982-01-25 1982 1 25 -4 -13 -8.5
"202" 1982-01-26 1982 1 26 0 -7 -3.5
"203" 1982-01-27 1982 1 27 -7 -17 -12
"204" 1982-01-28 1982 1 28 -7 -14 -10.5
"205" 1982-01-29 1982 1 29 -12 -18 -15
"206" 1982-01-30 1982 1 30 -12 -16 -14
"207" 1982-01-31 1982 1 31 -13 -16 -14.5
"208" 1982-02-01 1982 2 1 -15 -21 -18
"209" 1982-02-02 1982 2 2 -17 -25 -21
"210" 1982-02-03 1982 2 3 -17 -25 -21
"211" 1982-02-04 1982 2 4 -15 -27 -21
"212" 1982-02-05 1982 2 5 -27 -30 -28.5
"213" 1982-02-06 1982 2 6 -15 -29 -22
"214" 1982-02-07 1982 2 7 -10 -16 -13
"215" 1982-02-08 1982 2 8 -14 -22 -18
"216" 1982-02-09 1982 2 9 -17 -23 -20
"217" 1982-02-10 1982 2 10 -15 -20 -17.5
"218" 1982-02-11 1982 2 11 -8 -20 -14
"219" 1982-02-12 1982 2 12 -10 -18 -14
"220" 1982-02-13 1982 2 13 -6 -12 -9
"221" 1982-02-14 1982 2 14 -6 -10 -8
"222" 1982-02-15 1982 2 15 -6 -10 -8
"223" 1982-02-16 1982 2 16 -3 -11 -7
"224" 1982-02-17 1982 2 17 -8 -12 -10
"225" 1982-02-18 1982 2 18 -3 -15 -9
"226" 1982-02-19 1982 2 19 -4 -11 -7.5
"227" 1982-02-20 1982 2 20 -1 -7 -4
"228" 1982-02-21 1982 2 21 2 -6 -2
"229" 1982-02-22 1982 2 22 0 -6 -3
"230" 1982-02-23 1982 2 23 -5 -9 -7
"231" 1982-02-24 1982 2 24 -5 -11 -8
"232" 1982-02-25 1982 2 25 -4 -14 -9
"233" 1982-02-26 1982 2 26 -6 -13 -9.5
"234" 1982-02-27 1982 2 27 -7 -11 -9
"235" 1982-02-28 1982 2 28 -6 -11 -8.5
"236" 1982-03-01 1982 3 1 -3 -8 -5.5
"237" 1982-03-02 1982 3 2 -6 -11 -8.5
"238" 1982-03-03 1982 3 3 -6 -13 -9.5
"239" 1982-03-04 1982 3 4 -13 -18 -15.5
"240" 1982-03-05 1982 3 5 -10 -19 -14.5
"241" 1982-03-06 1982 3 6 -16 -20 -18
"242" 1982-03-07 1982 3 7 -11 -16 -13.5
"243" 1982-03-08 1982 3 8 -8 -12 -10
"244" 1982-03-09 1982 3 9 -8 -12 -10
"245" 1982-03-10 1982 3 10 -7 -9 -8
"246" 1982-03-11 1982 3 11 -3 -9 -6
"247" 1982-03-12 1982 3 12 -6 -15 -10.5
"248" 1982-03-13 1982 3 13 -2 -11 -6.5
"249" 1982-03-14 1982 3 14 -4 -8 -6
"250" 1982-03-15 1982 3 15 -6 -11 -8.5
"251" 1982-03-16 1982 3 16 -4 -12 -8
"252" 1982-03-17 1982 3 17 -5 -13 -9
"253" 1982-03-18 1982 3 18 -2 -12 -7
"254" 1982-03-19 1982 3 19 -8 -18 -13
"255" 1982-03-20 1982 3 20 -15 -20 -17.5
"256" 1982-03-21 1982 3 21 -12 -19 -15.5
"257" 1982-03-22 1982 3 22 -9 -17 -13
"258" 1982-03-23 1982 3 23 -9 -16 -12.5
"259" 1982-03-24 1982 3 24 -8 -14 -11
"260" 1982-03-25 1982 3 25 -4 -13 -8.5
"261" 1982-03-26 1982 3 26 -4 -10 -7
"262" 1982-03-27 1982 3 27 -3 -11 -7
"263" 1982-03-28 1982 3 28 -1 -10 -5.5
"264" 1982-03-29 1982 3 29 -4 -18 -11
"265" 1982-03-30 1982 3 30 -14 -18 -16
"266" 1982-03-31 1982 3 31 -4 -16 -10
"267" 1982-04-01 1982 4 1 1 -7 -3
"268" 1982-04-02 1982 4 2 -7 -18 -12.5
"269" 1982-04-03 1982 4 3 -5 -15 -10
"270" 1982-04-04 1982 4 4 -2 -15 -8.5
"271" 1982-04-05 1982 4 5 -11 -20 -15.5
"272" 1982-04-06 1982 4 6 -7 -11 -9
"273" 1982-04-07 1982 4 7 -9 -19 -14
"274" 1982-04-08 1982 4 8 -15 -20 -17.5
"275" 1982-04-09 1982 4 9 -11 -20 -15.5
"276" 1982-04-10 1982 4 10 -7 -18 -12.5
"277" 1982-04-11 1982 4 11 2 -10 -4
"278" 1982-04-12 1982 4 12 -1 -7 -4
"279" 1982-04-13 1982 4 13 0 -8 -4
"280" 1982-04-14 1982 4 14 2 -7 -2.5
"281" 1982-04-15 1982 4 15 -1 -9 -5
"282" 1982-04-16 1982 4 16 -10 -17 -13.5
"283" 1982-04-17 1982 4 17 -3 -15 -9
"284" 1982-04-18 1982 4 18 -3 -13 -8
"285" 1982-04-19 1982 4 19 -14 -20 -17
"286" 1982-04-20 1982 4 20 -14 -24 -19
"287" 1982-04-21 1982 4 21 -2 -21 -11.5
"288" 1982-04-22 1982 4 22 -2 -16 -9
"289" 1982-04-23 1982 4 23 1 -10 -4.5
"290" 1982-04-24 1982 4 24 -1 -8 -4.5
"291" 1982-04-25 1982 4 25 -1 -8 -4.5
"292" 1982-04-26 1982 4 26 -2 -10 -6
"293" 1982-04-27 1982 4 27 -6 -11 -8.5
"294" 1982-04-28 1982 4 28 -2 -12 -7
"295" 1982-04-29 1982 4 29 -3 -10 -6.5
"296" 1982-04-30 1982 4 30 -2 -12 -7
"297" 1982-05-01 1982 5 1 4 -5 -0.5
"298" 1982-05-02 1982 5 2 6 -3 1.5
"299" 1982-05-03 1982 5 3 0 -4 -2
"300" 1982-05-04 1982 5 4 0 -6 -3
"301" 1982-05-05 1982 5 5 -4 -13 -8.5
"302" 1982-05-06 1982 5 6 -8 -16 -12
"303" 1982-05-07 1982 5 7 -4 -10 -7
"304" 1982-05-08 1982 5 8 1 -7 -3
"305" 1982-05-09 1982 5 9 2 -4 -1
"306" 1982-05-10 1982 5 10 0 -9 -4.5
"307" 1982-05-11 1982 5 11 -3 -7 -5
"308" 1982-05-12 1982 5 12 -4 -9 -6.5
"309" 1982-05-13 1982 5 13 -5 -9 -7
"310" 1982-05-14 1982 5 14 -5 -10 -7.5
"311" 1982-05-15 1982 5 15 -2 -9 -5.5
"312" 1982-05-16 1982 5 16 -1 -7 -4
"313" 1982-05-17 1982 5 17 -1 -7 -4
"314" 1982-05-18 1982 5 18 3 -4 -0.5
"315" 1982-05-19 1982 5 19 5 -6 -0.5
"316" 1982-05-20 1982 5 20 -3 -7 -5
"317" 1982-05-21 1982 5 21 3 -8 -2.5
"318" 1982-05-22 1982 5 22 9 -6 1.5
"319" 1982-05-23 1982 5 23 5 -4 0.5
"320" 1982-05-24 1982 5 24 3 -7 -2
"321" 1982-05-25 1982 5 25 -3 -10 -6.5
"322" 1982-05-26 1982 5 26 4 -9 -2.5
"323" 1982-05-27 1982 5 27 8 1 4.5
"324" 1982-05-28 1982 5 28 3 -4 -0.5
"325" 1982-05-29 1982 5 29 5 -5 0
"326" 1982-05-30 1982 5 30 1 -6 -2.5
"327" 1982-05-31 1982 5 31 3 -8 -2.5
"328" 1982-06-01 1982 6 1 5 -5 0
"329" 1982-06-02 1982 6 2 3 -6 -1.5
"330" 1982-06-03 1982 6 3 0 -6 -3
"331" 1982-06-04 1982 6 4 2 -3 -0.5
"332" 1982-06-05 1982 6 5 5 -3 1
"333" 1982-06-06 1982 6 6 0 -7 -3.5
"334" 1982-06-07 1982 6 7 7 -6 0.5
"335" 1982-06-08 1982 6 8 5 -4 0.5
"336" 1982-06-09 1982 6 9 0 -6 -3
"337" 1982-06-10 1982 6 10 4 -2 1
"338" 1982-06-11 1982 6 11 2 -3 -0.5
"339" 1982-06-12 1982 6 12 6 -2 2
