LTER_site,local_site,date,doy,year,month,day,precipitation.mm,flag.1,flag.2,source.station,pvalue,rsquared,x.obs.in.regression,regression.equation,raw_ppt_tot,raw_qdays
NWT,C1,1952-01-01,1,1952,1,1,2.545156552,D,A,53113,0.003073433,0.300505199,27,y=0.295900583901122x+0.863466921087906,NA,NA
NWT,C1,1952-01-02,2,1952,1,2,1.312433758,D,A,53113,0.021294968,0.218424402,24,y=0.228135448736918x+0.793563253980766,NA,NA
NWT,C1,1952-01-03,3,1952,1,3,0,D,A,50183,0.002909247,0.2155296,39,y=0.181768657552216x+1.166754128723,NA,NA
NWT,C1,1952-01-04,4,1952,1,4,0,D,A,53113,0.023504359,0.253879313,20,y=0.234216950131231x+0.620057173117761,NA,NA
NWT,C1,1952-01-05,5,1952,1,5,0,D,A,50183,0.012553408,0.125388769,49,y=0.16139631798775x+1.13120422839423,NA,NA
NWT,C1,1952-01-06,6,1952,1,6,0,D,A,50183,7.65431e-4,0.21205028,50,y=0.215418108741854x+1.07376055985742,NA,NA
NWT,C1,1952-01-07,7,1952,1,7,1.804768016,D,A,50183,0.001310018,0.203028227,48,y=0.227321549435776x+1.11025091728511,NA,NA
NWT,C1,1952-01-08,8,1952,1,8,0,D,A,50183,9.64385e-4,0.217102751,47,y=0.241120576470535x+1.02456089746384,NA,NA
NWT,C1,1952-01-09,9,1952,1,9,0,D,A,50183,3.84e-5,0.310867104,48,y=0.299203291597511x+1.10935113675072,NA,NA
NWT,C1,1952-01-10,10,1952,1,10,0,D,A,50183,4.267e-4,0.25841151,44,y=0.287141380457776x+1.06219644707696,NA,NA
NWT,C1,1952-01-11,11,1952,1,11,0,D,A,50183,5.93294e-4,0.269807,40,y=0.291210939424113x+1.05249525174256,NA,NA
NWT,C1,1952-01-12,12,1952,1,12,0,D,A,50183,5.65e-5,0.374804796,37,y=0.339031680829954x+1.03858350582368,NA,NA
NWT,C1,1952-01-13,13,1952,1,13,0,D,A,50183,8.26624e-4,0.290945472,35,y=0.301530077176992x+1.04645979472693,NA,NA
NWT,C1,1952-01-14,14,1952,1,14,0,D,A,50183,3.22794e-4,0.320120703,36,y=0.299768494214415x+1.01677956300356,NA,NA
NWT,C1,1952-01-15,15,1952,1,15,0,D,A,50183,5.92806e-4,0.269836787,40,y=0.288360348828636x+0.991860411419788,NA,NA
NWT,C1,1952-01-16,16,1952,1,16,0,D,A,53113,0.010504785,0.297770287,21,y=0.247136498734149x+0.986848663244599,NA,NA
NWT,C1,1952-01-17,17,1952,1,17,3.70160812,D,A,53113,0.035851189,0.202020332,22,y=0.195928048319483x+1.10745632565807,NA,NA
NWT,C1,1952-01-18,18,1952,1,18,2.362525614,D,A,53113,0.007598775,0.281884934,24,y=0.24976925450895x+1.02889340213764,NA,NA
NWT,C1,1952-01-19,19,1952,1,19,4.867993961,D,A,53113,0.002573628,0.309685659,27,y=0.250220966067098x+1.07453910941639,NA,NA
NWT,C1,1952-01-20,20,1952,1,20,2.554085687,D,A,53113,0.002519798,0.300655344,28,y=0.232739323390431x+1.09532256054833,NA,NA
NWT,C1,1952-01-21,21,1952,1,21,4.704712421,D,A,53113,0.003765128,0.300140076,26,y=0.238140503786385x+1.10837268870716,NA,NA
NWT,C1,1952-01-22,22,1952,1,22,4.449102196,D,A,53113,0.004007537,0.296761048,26,y=0.275457828110421x+0.983530973903689,NA,NA
NWT,C1,1952-01-23,23,1952,1,23,2.419964211,D,A,53113,0.001617098,0.322597024,28,y=0.25023940066711x+1.05323334902188,NA,NA
NWT,C1,1952-01-24,24,1952,1,24,1.548363997,D,A,53500,3.09e-7,0.211005387,113,y=0.293251091813881x+1.10777960320179,NA,NA
