LTER_site,local_site,date,doy,year,month,day,precipitation.mm,flag.1,flag.2,source.station,pvalue,rsquared,x.obs.in.regression,regression.equation,raw_ppt_tot,raw_qdays
NWT,D1,1952-01-01,1,1952,1,1,4.781291748,D,A,53113,0.003010919,0.32346437,25,y=0.362073477615453x+1.47816906988041,NA,NA
NWT,D1,1952-01-02,2,1952,1,2,3.045902193,D,A,53113,0.042737145,0.160224023,26,y=0.243737354122613x+1.67115421405175,NA,NA
NWT,D1,1952-01-03,3,1952,1,3,0,D,A,53496,0.006492749,0.064842292,113,y=0.160823803412784x+1.44309327200752,NA,NA
NWT,D1,1952-01-04,4,1952,1,4,0,D,A,53113,0.036951294,0.19117306,23,y=0.281706699175595x+1.82378224875805,NA,NA
NWT,D1,1952-01-05,5,1952,1,5,4.803389713,D,A,53113,0.029309023,0.216003964,22,y=0.287436716819722x+1.76399522539458,NA,NA
NWT,D1,1952-01-06,6,1952,1,6,0,D,A,52759,0.037746438,0.12086178,36,y=-0.257308927419387x+1.29525331922411,NA,NA
NWT,D1,1952-01-07,7,1952,1,7,6.395487084,D,A,53113,0.02860363,0.199641599,24,y=0.245851372903619x+1.79682996532323,NA,NA
NWT,D1,1952-01-08,8,1952,1,8,3.455115082,D,A,52759,0.010760472,0.181320059,35,y=-0.327918804756294x+1.31823390191625,NA,NA
NWT,D1,1952-01-09,9,1952,1,9,3.901022206,D,A,52759,0.008888438,0.179909529,37,y=-0.278127764164284x+1.42771585910135,NA,NA
NWT,D1,1952-01-10,10,1952,1,10,0,D,A,53496,0.003943261,0.073077418,112,y=0.183713266597653x+1.50125105573845,NA,NA
NWT,D1,1952-01-11,11,1952,1,11,0,D,A,53496,0.019680245,0.048900979,111,y=0.147194751331168x+1.52641912735335,NA,NA
NWT,D1,1952-01-12,12,1952,1,12,0,D,A,53496,0.001978591,0.085930211,109,y=0.19498711639698x+1.59395188490848,NA,NA
NWT,D1,1952-01-13,13,1952,1,13,0,D,A,53496,0.001308747,0.090022023,112,y=0.18966100804139x+1.63310648297383,NA,NA
NWT,D1,1952-01-14,14,1952,1,14,3.560422243,D,A,53496,0.006262635,0.066555977,111,y=0.159250044387002x+1.63403809215335,NA,NA
NWT,D1,1952-01-15,15,1952,1,15,0,D,A,53496,3.97893e-4,0.105490086,115,y=0.201630858366298x+1.59984625321363,NA,NA
NWT,D1,1952-01-16,16,1952,1,16,3.491013554,D,A,53496,0.004380071,0.072742256,110,y=0.172667000707395x+1.6450317690959,NA,NA
NWT,D1,1952-01-17,17,1952,1,17,3.205631779,D,A,53496,0.006054594,0.06829485,109,y=0.165230727525732x+1.54274423881708,NA,NA
NWT,D1,1952-01-18,18,1952,1,18,3.107021518,D,A,53496,0.006094977,0.06944866,107,y=0.156879171975071x+1.49240200095897,NA,NA
NWT,D1,1952-01-19,19,1952,1,19,4.43860438,D,A,53496,0.009935879,0.059416312,111,y=0.141986661600307x+1.45640278636638,NA,NA
NWT,D1,1952-01-20,20,1952,1,20,0,E,A,50183,0.12947363,0.061028837,39,y=0.106841792333032x+1.20637537517408,NA,NA
NWT,D1,1952-01-21,21,1952,1,21,4.299042774,D,A,53496,0.003007743,0.071013223,122,y=0.168429380487904x+1.50417296210963,NA,NA
NWT,D1,1952-01-22,22,1952,1,22,5.703145977,D,A,53500,0.001648045,0.082869518,117,y=0.219001895782944x+1.64874402745398,NA,NA
NWT,D1,1952-01-23,23,1952,1,23,8.115808182,D,A,53496,2.45874e-4,0.103133538,126,y=0.205741343298915x+1.63285094510265,NA,NA
NWT,D1,1952-01-24,24,1952,1,24,3.250843032,D,A,53496,9.29e-5,0.12289013,119,y=0.221356669709994x+1.68509325350253,NA,NA
NWT,D1,1952-01-25,25,1952,1,25,9.585139793,D,A,53500,3.66661e-4,0.104082436,118,y=0.208697667195363x+1.79262748440251,NA,NA
NWT,D1,1952-01-26,26,1952,1,26,7.153697483,D,A,53500,1.47188e-4,0.113577532,122,y=0.228252994938133x+1.77890896349204,NA,NA
NWT,D1,1952-01-27,27,1952,1,27,4.93740043,D,A,53500,4.7e-5,0.136898097,115,y=0.232873782163783x+1.75455828257321,NA,NA
NWT,D1,1952-01-28,28,1952,1,28,3.41126952,D,A,53500,2.41396e-4,0.12099665800000001,107,y=0.209996323789375x+1.70728557496699,NA,NA
NWT,D1,1952-01-29,29,1952,1,29,0,D,A,53496,0.001159855,0.096051217,107,y=0.239651177410038x+1.37543366918247,NA,NA
NWT,D1,1952-01-30,30,1952,1,30,0,D,A,53496,0.003097949,0.080308911,107,y=0.217621797691377x+1.33911922400713,NA,NA
NWT,D1,1952-01-31,31,1952,1,31,2.387580694,D,A,53496,0.002950615,0.077535876,112,y=0.213557668591384x+1.35862541995837,NA,NA
NWT,D1,1952-02-01,32,1952,2,1,4.526345245,D,A,53500,0.005494756,0.073134674,104,y=0.191761502382294x+1.63978987215067,NA,NA
