LTER_site,local_site,date,yr,mon,doy,ppt_mm,ppt_qcflag,ppt_qaflag
NWT,University Camp Snotel (838),1978-10-01,1978,10,274,0,E,U
NWT,University Camp Snotel (838),1978-10-02,1978,10,275,0,E,U
NWT,University Camp Snotel (838),1978-10-03,1978,10,276,0,V,U
NWT,University Camp Snotel (838),1978-10-04,1978,10,277,0,V,U
NWT,University Camp Snotel (838),1978-10-05,1978,10,278,0,V,U
NWT,University Camp Snotel (838),1978-10-06,1978,10,279,0,V,U
NWT,University Camp Snotel (838),1978-10-07,1978,10,280,0,V,U
NWT,University Camp Snotel (838),1978-10-08,1978,10,281,0,V,U
NWT,University Camp Snotel (838),1978-10-09,1978,10,282,0,E,U
NWT,University Camp Snotel (838),1978-10-10,1978,10,283,0,E,U
NWT,University Camp Snotel (838),1978-10-11,1978,10,284,0,E,U
NWT,University Camp Snotel (838),1978-10-12,1978,10,285,0,E,U
NWT,University Camp Snotel (838),1978-10-13,1978,10,286,0,E,U
NWT,University Camp Snotel (838),1978-10-14,1978,10,287,0,E,U
NWT,University Camp Snotel (838),1978-10-15,1978,10,288,0,E,U
NWT,University Camp Snotel (838),1978-10-16,1978,10,289,0,V,U
NWT,University Camp Snotel (838),1978-10-17,1978,10,290,0,V,U
NWT,University Camp Snotel (838),1978-10-18,1978,10,291,0,V,U
NWT,University Camp Snotel (838),1978-10-19,1978,10,292,NA,NA,NA
NWT,University Camp Snotel (838),1978-10-20,1978,10,293,NA,NA,NA
NWT,University Camp Snotel (838),1978-10-21,1978,10,294,NA,NA,NA
NWT,University Camp Snotel (838),1978-10-22,1978,10,295,25,V,U
NWT,University Camp Snotel (838),1978-10-23,1978,10,296,8,V,U
NWT,University Camp Snotel (838),1978-10-24,1978,10,297,NA,NA,NA
NWT,University Camp Snotel (838),1978-10-25,1978,10,298,NA,NA,NA
NWT,University Camp Snotel (838),1978-10-26,1978,10,299,NA,NA,NA
NWT,University Camp Snotel (838),1978-10-27,1978,10,300,NA,NA,NA
NWT,University Camp Snotel (838),1978-10-28,1978,10,301,NA,NA,NA
NWT,University Camp Snotel (838),1978-10-29,1978,10,302,NA,NA,NA
NWT,University Camp Snotel (838),1978-10-30,1978,10,303,NA,NA,NA
NWT,University Camp Snotel (838),1978-10-31,1978,10,304,NA,NA,NA
NWT,University Camp Snotel (838),1978-11-01,1978,11,305,0,E,U
NWT,University Camp Snotel (838),1978-11-02,1978,11,306,0,E,U
NWT,University Camp Snotel (838),1978-11-03,1978,11,307,0,E,U
NWT,University Camp Snotel (838),1978-11-04,1978,11,308,0,E,U
NWT,University Camp Snotel (838),1978-11-05,1978,11,309,0,E,U
NWT,University Camp Snotel (838),1978-11-06,1978,11,310,0,E,U
NWT,University Camp Snotel (838),1978-11-07,1978,11,311,0,E,U
NWT,University Camp Snotel (838),1978-11-08,1978,11,312,0,E,U
NWT,University Camp Snotel (838),1978-11-09,1978,11,313,0,E,U
NWT,University Camp Snotel (838),1978-11-10,1978,11,314,0,E,U
NWT,University Camp Snotel (838),1978-11-11,1978,11,315,0,E,U
NWT,University Camp Snotel (838),1978-11-12,1978,11,316,8,V,U
NWT,University Camp Snotel (838),1978-11-13,1978,11,317,3,V,U
NWT,University Camp Snotel (838),1978-11-14,1978,11,318,0,E,U
NWT,University Camp Snotel (838),1978-11-15,1978,11,319,0,E,U
NWT,University Camp Snotel (838),1978-11-16,1978,11,320,0,E,U
NWT,University Camp Snotel (838),1978-11-17,1978,11,321,0,V,U
NWT,University Camp Snotel (838),1978-11-18,1978,11,322,0,E,U
NWT,University Camp Snotel (838),1978-11-19,1978,11,323,0,E,U
NWT,University Camp Snotel (838),1978-11-20,1978,11,324,0,V,U
NWT,University Camp Snotel (838),1978-11-21,1978,11,325,0,V,U
NWT,University Camp Snotel (838),1978-11-22,1978,11,326,0,E,U
NWT,University Camp Snotel (838),1978-11-23,1978,11,327,0,E,U
NWT,University Camp Snotel (838),1978-11-24,1978,11,328,NA,NA,NA
NWT,University Camp Snotel (838),1978-11-25,1978,11,329,NA,NA,NA
NWT,University Camp Snotel (838),1978-11-26,1978,11,330,8,V,U
NWT,University Camp Snotel (838),1978-11-27,1978,11,331,0,V,U
NWT,University Camp Snotel (838),1978-11-28,1978,11,332,8,V,U
NWT,University Camp Snotel (838),1978-11-29,1978,11,333,NA,NA,NA
NWT,University Camp Snotel (838),1978-11-30,1978,11,334,NA,NA,NA
NWT,University Camp Snotel (838),1978-12-01,1978,12,335,NA,NA,NA
NWT,University Camp Snotel (838),1978-12-02,1978,12,336,NA,NA,NA
NWT,University Camp Snotel (838),1978-12-03,1978,12,337,15,V,U
NWT,University Camp Snotel (838),1978-12-04,1978,12,338,33,V,U
NWT,University Camp Snotel (838),1978-12-05,1978,12,339,0,V,U
NWT,University Camp Snotel (838),1978-12-06,1978,12,340,3,V,U
NWT,University Camp Snotel (838),1978-12-07,1978,12,341,NA,NA,NA
NWT,University Camp Snotel (838),1978-12-08,1978,12,342,NA,NA,NA
NWT,University Camp Snotel (838),1978-12-09,1978,12,343,3,V,U
NWT,University Camp Snotel (838),1978-12-10,1978,12,344,0,E,U
NWT,University Camp Snotel (838),1978-12-11,1978,12,345,0,E,U
NWT,University Camp Snotel (838),1978-12-12,1978,12,346,0,V,U
NWT,University Camp Snotel (838),1978-12-13,1978,12,347,0,E,U
NWT,University Camp Snotel (838),1978-12-14,1978,12,348,0,E,U
NWT,University Camp Snotel (838),1978-12-15,1978,12,349,NA,NA,NA
NWT,University Camp Snotel (838),1978-12-16,1978,12,350,NA,NA,NA
NWT,University Camp Snotel (838),1978-12-17,1978,12,351,NA,NA,NA
NWT,University Camp Snotel (838),1978-12-18,1978,12,352,0,E,U
NWT,University Camp Snotel (838),1978-12-19,1978,12,353,0,E,U
NWT,University Camp Snotel (838),1978-12-20,1978,12,354,0,E,U
NWT,University Camp Snotel (838),1978-12-21,1978,12,355,0,E,U
NWT,University Camp Snotel (838),1978-12-22,1978,12,356,0,E,U
NWT,University Camp Snotel (838),1978-12-23,1978,12,357,NA,NA,NA
NWT,University Camp Snotel (838),1978-12-24,1978,12,358,NA,NA,NA
NWT,University Camp Snotel (838),1978-12-25,1978,12,359,NA,NA,NA
NWT,University Camp Snotel (838),1978-12-26,1978,12,360,NA,NA,NA
NWT,University Camp Snotel (838),1978-12-27,1978,12,361,NA,NA,NA
NWT,University Camp Snotel (838),1978-12-28,1978,12,362,NA,NA,NA
NWT,University Camp Snotel (838),1978-12-29,1978,12,363,NA,NA,NA
NWT,University Camp Snotel (838),1978-12-30,1978,12,364,NA,NA,NA
NWT,University Camp Snotel (838),1978-12-31,1978,12,365,0,E,U
NWT,University Camp Snotel (838),1979-01-01,1979,1,1,0,E,U
