"data_source","date","yr","mon","doy","local_site","logger","metric","sensor","temp","flag"
"raw hmps",2017-01-01,2017,1,1,"c1","cr1000","airtemp_avg","hmp1",-6.01601,"n"
"raw hmps",2017-01-01,2017,1,1,"c1","cr1000","airtemp_max","hmp1",-2.838,"n"
"raw hmps",2017-01-01,2017,1,1,"c1","cr1000","airtemp_min","hmp1",-9.46,"n"
"raw hmps",2017-01-01,2017,1,1,"c1","cr1000","airtemp_avg","hmp2",-6.02984,"n"
"raw hmps",2017-01-01,2017,1,1,"c1","cr1000","airtemp_max","hmp2",-2.885,"n"
"raw hmps",2017-01-01,2017,1,1,"c1","cr1000","airtemp_min","hmp2",-9.51,"n"
"raw hmps",2017-01-01,2017,1,1,"c1","cr1000","airtemp_avg","hmp3",-5.9817,"n"
"raw hmps",2017-01-01,2017,1,1,"c1","cr1000","airtemp_max","hmp3",-0.953,"n"
"raw hmps",2017-01-01,2017,1,1,"c1","cr1000","airtemp_min","hmp3",-10.35,"n"
"raw hmps",2017-01-01,2017,1,1,"c1","cr1000","DTR","hmp1",6.622,"n"
"raw hmps",2017-01-01,2017,1,1,"c1","cr1000","DTR","hmp2",6.625,"n"
"raw hmps",2017-01-01,2017,1,1,"c1","cr1000","DTR","hmp3",9.397,"n"
"raw hmps",2017-01-02,2017,1,2,"c1","cr1000","airtemp_avg","hmp1",-6.54522,"n"
"raw hmps",2017-01-02,2017,1,2,"c1","cr1000","airtemp_max","hmp1",-3.788,"n"
"raw hmps",2017-01-02,2017,1,2,"c1","cr1000","airtemp_min","hmp1",-11.37,"n"
"raw hmps",2017-01-02,2017,1,2,"c1","cr1000","airtemp_avg","hmp2",-6.55569,"n"
"raw hmps",2017-01-02,2017,1,2,"c1","cr1000","airtemp_max","hmp2",-3.788,"n"
"raw hmps",2017-01-02,2017,1,2,"c1","cr1000","airtemp_min","hmp2",-11.42,"n"
"raw hmps",2017-01-02,2017,1,2,"c1","cr1000","airtemp_avg","hmp3",-6.40828,"n"
"raw hmps",2017-01-02,2017,1,2,"c1","cr1000","airtemp_max","hmp3",-1.713,"n"
"raw hmps",2017-01-02,2017,1,2,"c1","cr1000","airtemp_min","hmp3",-11.37,"n"
"raw hmps",2017-01-02,2017,1,2,"c1","cr1000","DTR","hmp1",7.582,"n"
"raw hmps",2017-01-02,2017,1,2,"c1","cr1000","DTR","hmp2",7.632,"n"
"raw hmps",2017-01-02,2017,1,2,"c1","cr1000","DTR","hmp3",9.657,"n"
"raw hmps",2017-01-03,2017,1,3,"c1","cr1000","airtemp_avg","hmp1",-10.56912,"n"
"raw hmps",2017-01-03,2017,1,3,"c1","cr1000","airtemp_max","hmp1",-7.026,"n"
