"data_source","date","yr","mon","doy","local_site","logger","metric","sensor","temp","flag"
"raw hmps",2018-01-01,2018,1,1,"d1","cr1000","airtemp_avg","hmp1",-11.38347,"n"
"raw hmps",2018-01-01,2018,1,1,"d1","cr1000","airtemp_max","hmp1",-8.87,"n"
"raw hmps",2018-01-01,2018,1,1,"d1","cr1000","airtemp_min","hmp1",-14.16,"n"
"raw hmps",2018-01-01,2018,1,1,"d1","cr1000","airtemp_avg","hmp2",-11.38368,"n"
"raw hmps",2018-01-01,2018,1,1,"d1","cr1000","airtemp_max","hmp2",-8.83,"n"
"raw hmps",2018-01-01,2018,1,1,"d1","cr1000","airtemp_min","hmp2",-14.16,"n"
"raw hmps",2018-01-01,2018,1,1,"d1","cr1000","airtemp_avg","hmp3",-11.38382,"n"
"raw hmps",2018-01-01,2018,1,1,"d1","cr1000","airtemp_max","hmp3",-8.89,"n"
"raw hmps",2018-01-01,2018,1,1,"d1","cr1000","airtemp_min","hmp3",-14.16,"n"
"raw hmps",2018-01-01,2018,1,1,"d1","cr1000","DTR","hmp1",5.29,"n"
"raw hmps",2018-01-01,2018,1,1,"d1","cr1000","DTR","hmp2",5.33,"n"
"raw hmps",2018-01-01,2018,1,1,"d1","cr1000","DTR","hmp3",5.27,"n"
"raw hmps",2018-01-02,2018,1,2,"d1","cr1000","airtemp_avg","hmp1",-12.12194,"n"
"raw hmps",2018-01-02,2018,1,2,"d1","cr1000","airtemp_max","hmp1",-8.08,"n"
"raw hmps",2018-01-02,2018,1,2,"d1","cr1000","airtemp_min","hmp1",-18.4,"n"
"raw hmps",2018-01-02,2018,1,2,"d1","cr1000","airtemp_avg","hmp2",-12.12215,"n"
"raw hmps",2018-01-02,2018,1,2,"d1","cr1000","airtemp_max","hmp2",-8.06,"n"
"raw hmps",2018-01-02,2018,1,2,"d1","cr1000","airtemp_min","hmp2",-18.4,"n"
"raw hmps",2018-01-02,2018,1,2,"d1","cr1000","airtemp_avg","hmp3",-12.12229,"n"
