"data_source","date","yr","mon","doy","local_site","logger","metric","temp","flag"
"raw logger",1986-10-13,1986,10,286,"d1","cr21x","airtemp_max",NA,NA
"raw logger",1986-10-13,1986,10,286,"d1","cr21x","airtemp_min",-7.91,NA
"raw logger",1986-10-13,1986,10,286,"d1","cr21x","airtemp_avg",NA,NA
"raw logger",1986-10-13,1986,10,286,"d1","cr21x","DTR",NA,NA
"raw logger",1986-10-14,1986,10,287,"d1","cr21x","airtemp_max",NA,NA
"raw logger",1986-10-14,1986,10,287,"d1","cr21x","airtemp_min",-7.23,NA
"raw logger",1986-10-14,1986,10,287,"d1","cr21x","airtemp_avg",NA,NA
"raw logger",1986-10-14,1986,10,287,"d1","cr21x","DTR",NA,NA
"raw logger",1986-10-15,1986,10,288,"d1","cr21x","airtemp_max",NA,NA
"raw logger",1986-10-15,1986,10,288,"d1","cr21x","airtemp_avg",NA,NA
"raw logger",1986-10-15,1986,10,288,"d1","cr21x","airtemp_min",-5.574,NA
"raw logger",1986-10-15,1986,10,288,"d1","cr21x","DTR",NA,NA
"raw logger",1986-10-16,1986,10,289,"d1","cr21x","airtemp_max",NA,NA
"raw logger",1986-10-16,1986,10,289,"d1","cr21x","airtemp_avg",NA,NA
"raw logger",1986-10-16,1986,10,289,"d1","cr21x","DTR",NA,NA
"raw logger",1986-10-16,1986,10,289,"d1","cr21x","airtemp_min",-1.913,NA
"raw logger",1986-10-17,1986,10,290,"d1","cr21x","airtemp_max",NA,NA
"raw logger",1986-10-17,1986,10,290,"d1","cr21x","DTR",NA,NA
"raw logger",1986-10-17,1986,10,290,"d1","cr21x","airtemp_avg",NA,NA
"raw logger",1986-10-17,1986,10,290,"d1","cr21x","airtemp_min",-1.242,NA
"raw logger",1986-10-18,1986,10,291,"d1","cr21x","airtemp_min",-1.851,NA
"raw logger",1986-10-18,1986,10,291,"d1","cr21x","airtemp_max",NA,NA
"raw logger",1986-10-18,1986,10,291,"d1","cr21x","airtemp_avg",NA,NA
"raw logger",1986-10-18,1986,10,291,"d1","cr21x","DTR",NA,NA
"raw logger",1986-10-19,1986,10,292,"d1","cr21x","airtemp_max",NA,NA
"raw logger",1986-10-19,1986,10,292,"d1","cr21x","DTR",NA,NA
"raw logger",1986-10-19,1986,10,292,"d1","cr21x","airtemp_avg",NA,NA
"raw logger",1986-10-19,1986,10,292,"d1","cr21x","airtemp_min",-1.375,NA
"raw logger",1986-10-20,1986,10,293,"d1","cr21x","airtemp_max",NA,NA
"raw logger",1986-10-20,1986,10,293,"d1","cr21x","airtemp_avg",NA,NA
"raw logger",1986-10-20,1986,10,293,"d1","cr21x","DTR",NA,NA
"raw logger",1986-10-20,1986,10,293,"d1","cr21x","airtemp_min",-7.58,NA
