"data_source","date","yr","mon","doy","local_site","logger","metric","temp","flag"
"raw logger",2008-08-21,2008,8,234,"GL4","cr10","airtemp_avg",9.26,NA
"raw logger",2008-08-21,2008,8,234,"GL4","cr10","airtemp_max",11.25,NA
"raw logger",2008-08-21,2008,8,234,"GL4","cr10","airtemp_min",7.27,NA
"raw logger",2008-08-21,2008,8,234,"GL4","cr10","DTR",3.98,NA
"raw logger",2008-08-22,2008,8,235,"GL4","cr10","airtemp_avg",6.994,NA
"raw logger",2008-08-22,2008,8,235,"GL4","cr10","airtemp_max",12.4,NA
"raw logger",2008-08-22,2008,8,235,"GL4","cr10","airtemp_min",2.425,NA
"raw logger",2008-08-22,2008,8,235,"GL4","cr10","DTR",9.975,NA
"raw logger",2008-08-23,2008,8,236,"GL4","cr10","airtemp_avg",6.495,NA
"raw logger",2008-08-23,2008,8,236,"GL4","cr10","airtemp_max",12.83,NA
"raw logger",2008-08-23,2008,8,236,"GL4","cr10","airtemp_min",2.364,NA
"raw logger",2008-08-23,2008,8,236,"GL4","cr10","DTR",10.466,NA
"raw logger",2008-08-24,2008,8,237,"GL4","cr10","airtemp_avg",6.509,NA
"raw logger",2008-08-24,2008,8,237,"GL4","cr10","airtemp_max",12.31,NA
"raw logger",2008-08-24,2008,8,237,"GL4","cr10","airtemp_min",3.241,NA
"raw logger",2008-08-24,2008,8,237,"GL4","cr10","DTR",9.069,NA
"raw logger",2008-08-25,2008,8,238,"GL4","cr10","airtemp_avg",6.469,NA
"raw logger",2008-08-25,2008,8,238,"GL4","cr10","airtemp_max",12.18,NA
"raw logger",2008-08-25,2008,8,238,"GL4","cr10","airtemp_min",2.64,NA
"raw logger",2008-08-25,2008,8,238,"GL4","cr10","DTR",9.54,NA
"raw logger",2008-08-26,2008,8,239,"GL4","cr10","airtemp_avg",6.012,NA
"raw logger",2008-08-26,2008,8,239,"GL4","cr10","airtemp_max",10.36,NA
"raw logger",2008-08-26,2008,8,239,"GL4","cr10","airtemp_min",2.859,NA
"raw logger",2008-08-26,2008,8,239,"GL4","cr10","DTR",7.501,NA
"raw logger",2008-08-27,2008,8,240,"GL4","cr10","airtemp_avg",6.509,NA
"raw logger",2008-08-27,2008,8,240,"GL4","cr10","airtemp_max",9.87,NA
"raw logger",2008-08-27,2008,8,240,"GL4","cr10","airtemp_min",3.183,NA
"raw logger",2008-08-27,2008,8,240,"GL4","cr10","DTR",6.687,NA
"raw logger",2008-08-28,2008,8,241,"GL4","cr10","airtemp_avg",5.425,NA
"raw logger",2008-08-28,2008,8,241,"GL4","cr10","airtemp_max",11.05,NA
"raw logger",2008-08-28,2008,8,241,"GL4","cr10","airtemp_min",2.066,NA
"raw logger",2008-08-28,2008,8,241,"GL4","cr10","DTR",8.984,NA
"raw logger",2008-08-29,2008,8,242,"GL4","cr10","airtemp_avg",6.371,NA
"raw logger",2008-08-29,2008,8,242,"GL4","cr10","airtemp_max",11.88,NA
"raw logger",2008-08-29,2008,8,242,"GL4","cr10","airtemp_min",1.935,NA
"raw logger",2008-08-29,2008,8,242,"GL4","cr10","DTR",9.945,NA
"raw logger",2008-08-30,2008,8,243,"GL4","cr10","airtemp_avg",7.18,NA
"raw logger",2008-08-30,2008,8,243,"GL4","cr10","airtemp_max",12.93,NA
"raw logger",2008-08-30,2008,8,243,"GL4","cr10","airtemp_min",3.418,NA
"raw logger",2008-08-30,2008,8,243,"GL4","cr10","DTR",9.512,NA
"raw logger",2008-08-31,2008,8,244,"GL4","cr10","airtemp_avg",5.777,NA
"raw logger",2008-08-31,2008,8,244,"GL4","cr10","airtemp_max",11.92,NA
"raw logger",2008-08-31,2008,8,244,"GL4","cr10","airtemp_min",3.246,NA
