"data_source","date","yr","mon","doy","local_site","logger","metric","sensor","temp","flag"
"raw hmps",2018-01-01,2018,1,1,"sdl","cr1000","airtemp_max","hmp3",-8.21,"n"
"raw hmps",2018-01-01,2018,1,1,"sdl","cr1000","airtemp_min","hmp3",-12.32,"n"
"raw hmps",2018-01-01,2018,1,1,"sdl","cr1000","DTR","hmp1",4.1,"n"
"raw hmps",2018-01-01,2018,1,1,"sdl","cr1000","DTR","hmp2",4.11,"n"
"raw hmps",2018-01-01,2018,1,1,"sdl","cr1000","DTR","hmp3",4.11,"n"
"raw hmps",2018-01-01,2018,1,1,"sdl","cr1000","airtemp_avg","hmp2",-10.26194,"n"
"raw hmps",2018-01-01,2018,1,1,"sdl","cr1000","airtemp_avg","hmp1",-10.305,"n"
"raw hmps",2018-01-01,2018,1,1,"sdl","cr1000","airtemp_max","hmp1",-8.07,"n"
"raw hmps",2018-01-01,2018,1,1,"sdl","cr1000","airtemp_min","hmp1",-12.17,"n"
"raw hmps",2018-01-01,2018,1,1,"sdl","cr1000","airtemp_max","hmp2",-8.02,"n"
"raw hmps",2018-01-01,2018,1,1,"sdl","cr1000","airtemp_min","hmp2",-12.13,"n"
"raw hmps",2018-01-01,2018,1,1,"sdl","cr1000","airtemp_avg","hmp3",-10.45951,"n"
"raw hmps",2018-01-02,2018,1,2,"sdl","cr1000","airtemp_avg","hmp1",-10.52083,"n"
"raw hmps",2018-01-02,2018,1,2,"sdl","cr1000","DTR","hmp1",10.929,"n"
"raw hmps",2018-01-02,2018,1,2,"sdl","cr1000","DTR","hmp2",10.863,"n"
"raw hmps",2018-01-02,2018,1,2,"sdl","cr1000","DTR","hmp3",10.912,"n"
"raw hmps",2018-01-02,2018,1,2,"sdl","cr1000","airtemp_min","hmp1",-16.68,"n"
"raw hmps",2018-01-02,2018,1,2,"sdl","cr1000","airtemp_avg","hmp2",-10.47956,"n"
"raw hmps",2018-01-02,2018,1,2,"sdl","cr1000","airtemp_max","hmp2",-5.727,"n"
"raw hmps",2018-01-02,2018,1,2,"sdl","cr1000","airtemp_max","hmp1",-5.751,"n"
"raw hmps",2018-01-02,2018,1,2,"sdl","cr1000","airtemp_avg","hmp3",-10.67003,"n"
"raw hmps",2018-01-02,2018,1,2,"sdl","cr1000","airtemp_max","hmp3",-5.918,"n"
"raw hmps",2018-01-02,2018,1,2,"sdl","cr1000","airtemp_min","hmp3",-16.83,"n"
"raw hmps",2018-01-02,2018,1,2,"sdl","cr1000","airtemp_min","hmp2",-16.59,"n"
"raw hmps",2018-01-03,2018,1,3,"sdl","cr1000","airtemp_avg","hmp1",-5.69515,"n"
"raw hmps",2018-01-03,2018,1,3,"sdl","cr1000","airtemp_max","hmp1",-3.7,"n"
"raw hmps",2018-01-03,2018,1,3,"sdl","cr1000","airtemp_min","hmp1",-8.11,"n"
"raw hmps",2018-01-03,2018,1,3,"sdl","cr1000","DTR","hmp3",4.41,"n"
"raw hmps",2018-01-03,2018,1,3,"sdl","cr1000","airtemp_avg","hmp2",-5.67998,"n"
"raw hmps",2018-01-03,2018,1,3,"sdl","cr1000","airtemp_max","hmp2",-3.7,"n"
"raw hmps",2018-01-03,2018,1,3,"sdl","cr1000","airtemp_min","hmp2",-8.11,"n"
"raw hmps",2018-01-03,2018,1,3,"sdl","cr1000","airtemp_avg","hmp3",-5.83243,"n"
"raw hmps",2018-01-03,2018,1,3,"sdl","cr1000","airtemp_max","hmp3",-3.82,"n"
"raw hmps",2018-01-03,2018,1,3,"sdl","cr1000","airtemp_min","hmp3",-8.23,"n"
"raw hmps",2018-01-03,2018,1,3,"sdl","cr1000","DTR","hmp1",4.41,"n"
"raw hmps",2018-01-03,2018,1,3,"sdl","cr1000","DTR","hmp2",4.41,"n"
"raw hmps",2018-01-04,2018,1,4,"sdl","cr1000","airtemp_avg","hmp1",-5.08047,"n"
"raw hmps",2018-01-04,2018,1,4,"sdl","cr1000","airtemp_max","hmp1",-2.932,"n"
"raw hmps",2018-01-04,2018,1,4,"sdl","cr1000","airtemp_min","hmp1",-6.992,"n"
"raw hmps",2018-01-04,2018,1,4,"sdl","cr1000","airtemp_avg","hmp2",-5.05766,"n"
"raw hmps",2018-01-04,2018,1,4,"sdl","cr1000","DTR","hmp3",4.084,"n"
"raw hmps",2018-01-04,2018,1,4,"sdl","cr1000","airtemp_max","hmp3",-3.075,"n"
"raw hmps",2018-01-04,2018,1,4,"sdl","cr1000","airtemp_max","hmp2",-2.908,"n"
