"data_source","date","yr","mon","doy","local_site","logger","metric","temp","flag"
"raw logger",1986-12-06,1986,12,340,"sdl","cr21x","airtemp_max",-5.254,NA
"raw logger",1986-12-06,1986,12,340,"sdl","cr21x","DTR",4.996,NA
"raw logger",1986-12-06,1986,12,340,"sdl","cr21x","airtemp_min",-10.25,NA
"raw logger",1986-12-06,1986,12,340,"sdl","cr21x","airtemp_avg",-7.66,NA
"raw logger",1986-12-07,1986,12,341,"sdl","cr21x","airtemp_min",-12.27,NA
"raw logger",1986-12-07,1986,12,341,"sdl","cr21x","airtemp_max",-5.906,NA
"raw logger",1986-12-07,1986,12,341,"sdl","cr21x","DTR",6.364,NA
"raw logger",1986-12-07,1986,12,341,"sdl","cr21x","airtemp_avg",-9.39,NA
"raw logger",1986-12-08,1986,12,342,"sdl","cr21x","airtemp_min",-21.51,NA
"raw logger",1986-12-08,1986,12,342,"sdl","cr21x","DTR",14.853,NA
"raw logger",1986-12-08,1986,12,342,"sdl","cr21x","airtemp_avg",-13.76,NA
"raw logger",1986-12-08,1986,12,342,"sdl","cr21x","airtemp_max",-6.657,NA
"raw logger",1986-12-09,1986,12,343,"sdl","cr21x","airtemp_avg",-22.7,NA
"raw logger",1986-12-09,1986,12,343,"sdl","cr21x","airtemp_min",-29.37,NA
"raw logger",1986-12-09,1986,12,343,"sdl","cr21x","DTR",13.81,NA
"raw logger",1986-12-09,1986,12,343,"sdl","cr21x","airtemp_max",-15.56,NA
"raw logger",1986-12-10,1986,12,344,"sdl","cr21x","airtemp_min",-26.39,NA
"raw logger",1986-12-10,1986,12,344,"sdl","cr21x","airtemp_avg",NA,NA
"raw logger",1986-12-10,1986,12,344,"sdl","cr21x","DTR",3.3,NA
"raw logger",1986-12-10,1986,12,344,"sdl","cr21x","airtemp_max",-23.09,NA
"raw logger",1986-12-11,1986,12,345,"sdl","cr21x","airtemp_avg",NA,NA
"raw logger",1986-12-11,1986,12,345,"sdl","cr21x","airtemp_min",NA,NA
"raw logger",1986-12-11,1986,12,345,"sdl","cr21x","DTR",NA,NA
"raw logger",1986-12-11,1986,12,345,"sdl","cr21x","airtemp_max",NA,NA
"raw logger",1986-12-12,1986,12,346,"sdl","cr21x","airtemp_min",NA,NA
"raw logger",1986-12-12,1986,12,346,"sdl","cr21x","DTR",NA,NA
"raw logger",1986-12-12,1986,12,346,"sdl","cr21x","airtemp_avg",NA,NA
"raw logger",1986-12-12,1986,12,346,"sdl","cr21x","airtemp_max",NA,NA
"raw logger",1986-12-13,1986,12,347,"sdl","cr21x","airtemp_avg",NA,NA
"raw logger",1986-12-13,1986,12,347,"sdl","cr21x","airtemp_min",NA,NA
"raw logger",1986-12-13,1986,12,347,"sdl","cr21x","DTR",NA,NA
"raw logger",1986-12-13,1986,12,347,"sdl","cr21x","airtemp_max",NA,NA
"raw logger",1986-12-14,1986,12,348,"sdl","cr21x","airtemp_min",NA,NA
"raw logger",1986-12-14,1986,12,348,"sdl","cr21x","airtemp_avg",NA,NA
"raw logger",1986-12-14,1986,12,348,"sdl","cr21x","DTR",NA,NA
"raw logger",1986-12-14,1986,12,348,"sdl","cr21x","airtemp_max",NA,NA
"raw logger",1986-12-15,1986,12,349,"sdl","cr21x","airtemp_avg",NA,NA
"raw logger",1986-12-15,1986,12,349,"sdl","cr21x","airtemp_min",NA,NA
"raw logger",1986-12-15,1986,12,349,"sdl","cr21x","DTR",NA,NA
"raw logger",1986-12-15,1986,12,349,"sdl","cr21x","airtemp_max",NA,NA
"raw logger",1986-12-16,1986,12,350,"sdl","cr21x","airtemp_min",NA,NA
"raw logger",1986-12-16,1986,12,350,"sdl","cr21x","DTR",NA,NA
"raw logger",1986-12-16,1986,12,350,"sdl","cr21x","airtemp_avg",NA,NA
"raw logger",1986-12-16,1986,12,350,"sdl","cr21x","airtemp_max",NA,NA
"raw logger",1986-12-17,1986,12,351,"sdl","cr21x","airtemp_avg",NA,NA
"raw logger",1986-12-17,1986,12,351,"sdl","cr21x","DTR",NA,NA
"raw logger",1986-12-17,1986,12,351,"sdl","cr21x","airtemp_min",NA,NA
"raw logger",1986-12-17,1986,12,351,"sdl","cr21x","airtemp_max",NA,NA
"raw logger",1986-12-18,1986,12,352,"sdl","cr21x","DTR",NA,NA
"raw logger",1986-12-18,1986,12,352,"sdl","cr21x","airtemp_avg",NA,NA
"raw logger",1986-12-18,1986,12,352,"sdl","cr21x","airtemp_max",NA,NA
"raw logger",1986-12-18,1986,12,352,"sdl","cr21x","airtemp_min",NA,NA
"raw logger",1986-12-19,1986,12,353,"sdl","cr21x","airtemp_max",NA,NA
"raw logger",1986-12-19,1986,12,353,"sdl","cr21x","airtemp_avg",NA,NA
"raw logger",1986-12-19,1986,12,353,"sdl","cr21x","DTR",NA,NA
"raw logger",1986-12-19,1986,12,353,"sdl","cr21x","airtemp_min",NA,NA
"raw logger",1986-12-20,1986,12,354,"sdl","cr21x","airtemp_min",NA,NA
"raw logger",1986-12-20,1986,12,354,"sdl","cr21x","airtemp_max",NA,NA
"raw logger",1986-12-20,1986,12,354,"sdl","cr21x","DTR",NA,NA
"raw logger",1986-12-20,1986,12,354,"sdl","cr21x","airtemp_avg",NA,NA
"raw logger",1986-12-21,1986,12,355,"sdl","cr21x","airtemp_min",NA,NA
"raw logger",1986-12-21,1986,12,355,"sdl","cr21x","DTR",NA,NA
"raw logger",1986-12-21,1986,12,355,"sdl","cr21x","airtemp_max",NA,NA
"raw logger",1986-12-21,1986,12,355,"sdl","cr21x","airtemp_avg",NA,NA
"raw logger",1986-12-22,1986,12,356,"sdl","cr21x","airtemp_min",NA,NA
"raw logger",1986-12-22,1986,12,356,"sdl","cr21x","airtemp_avg",NA,NA
"raw logger",1986-12-22,1986,12,356,"sdl","cr21x","DTR",NA,NA
"raw logger",1986-12-22,1986,12,356,"sdl","cr21x","airtemp_max",NA,NA
"raw logger",1986-12-23,1986,12,357,"sdl","cr21x","airtemp_min",NA,NA
"raw logger",1986-12-23,1986,12,357,"sdl","cr21x","airtemp_avg",NA,NA
"raw logger",1986-12-23,1986,12,357,"sdl","cr21x","DTR",NA,NA
"raw logger",1986-12-23,1986,12,357,"sdl","cr21x","airtemp_max",NA,NA
"raw logger",1986-12-24,1986,12,358,"sdl","cr21x","airtemp_avg",NA,NA
"raw logger",1986-12-24,1986,12,358,"sdl","cr21x","airtemp_min",NA,NA
"raw logger",1986-12-24,1986,12,358,"sdl","cr21x","DTR",NA,NA
"raw logger",1986-12-24,1986,12,358,"sdl","cr21x","airtemp_max",NA,NA
"raw logger",1986-12-25,1986,12,359,"sdl","cr21x","airtemp_min",NA,NA
"raw logger",1986-12-25,1986,12,359,"sdl","cr21x","airtemp_avg",NA,NA
"raw logger",1986-12-25,1986,12,359,"sdl","cr21x","DTR",NA,NA
"raw logger",1986-12-25,1986,12,359,"sdl","cr21x","airtemp_max",NA,NA
"raw logger",1986-12-26,1986,12,360,"sdl","cr21x","airtemp_min",NA,NA
"raw logger",1986-12-26,1986,12,360,"sdl","cr21x","airtemp_avg",NA,NA
"raw logger",1986-12-26,1986,12,360,"sdl","cr21x","DTR",NA,NA
