"LTER_site","local_site","year","date","precip","winter_adjusted","flag_1","flag_2","source_station","pvalue","rsquared","num_obs_in_regression_equation","regression_equation","raw_ppt_tot","raw_qdays","raw_flag_ppt_tot"
"NWT","SDL",1981,1981-07-31,1,1,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,1,1,NA
"NWT","SDL",1981,1981-08-01,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-08-02,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-08-03,1,1,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,1,1,NA
"NWT","SDL",1981,1981-08-04,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-08-05,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-08-06,0,0,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,0,1,NA
"NWT","SDL",1981,1981-08-07,1,1,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,1,1,NA
"NWT","SDL",1981,1981-08-08,2,2,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,2,1,NA
"NWT","SDL",1981,1981-08-09,7,7,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,7,1,NA
"NWT","SDL",1981,1981-08-10,1,1,"A","A","SDL Belfort Shielded",NA,NA,NA,NA,1,1,NA
"NWT","SDL",1981,1981-08-11,0.84,0.84,"D","B","D1 Belfort Shielded",8.34500960811411e-17,0.508756100133968,100,"y = 0.78593207277047x + 0.128092592324778",NA,NA,NA
"NWT","SDL",1981,1981-08-12,3.93,3.93,"D","B","D1 Belfort Shielded",1.20764183402645e-17,0.52041894487899,102,"y = 0.776234521246046x + 0.158994331522445",NA,NA,NA
"NWT","SDL",1981,1981-08-13,0.94,0.94,"D","B","D1 Belfort Shielded",1.27346806981504e-15,0.480946676932586,100,"y = 0.715494928063442x + 0.234538954566957",NA,NA,NA
"NWT","SDL",1981,1981-08-14,0,0,"D","B","D1 Belfort Shielded",2.19101393362682e-17,0.525501862819279,99,"y = 0.72731809411893x + 0.256627434069791",NA,NA,NA
"NWT","SDL",1981,1981-08-15,1.65,1.65,"D","B","D1 Belfort Shielded",1.32426745323379e-19,0.561488346838091,102,"y = 0.714849065642224x + 0.314875901746504",NA,NA,NA
"NWT","SDL",1981,1981-08-16,4.43,4.43,"D","B","D1 Belfort Shielded",8.76892238224197e-19,0.537616294895821,104,"y = 0.72278802050246x + 0.35292835762641",NA,NA,NA
