"lost_spp","plot","year","event"
NA,"CAC",2003,2
NA,"CAC",2004,3
"BISVIV","CAC",2005,4
NA,"CAC",2006,5
"AREFEN","CAC",2007,6
NA,"CAC",2008,7
NA,"CAC",2009,8
"CHIJAM","CAC",2010,9
NA,"CAC",2011,10
NA,"CAC",2012,11
NA,"CAC",2013,12
"POAGLA","CAC",2014,13
"LEWPYG","CAC",2014,13
NA,"CAC",2015,14
NA,"CAN",2003,2
NA,"CAN",2004,3
"CHIJAM","CAN",2005,4
"RANADO","CAN",2006,5
"AREFEN","CAN",2007,6
"BISVIV","CAN",2007,6
NA,"CAN",2008,7
NA,"CAN",2009,8
NA,"CAN",2010,9
"POAGLA","CAN",2011,10
NA,"CAN",2012,11
NA,"CAN",2013,12
NA,"CAN",2014,13
NA,"CAN",2015,14
"CERARV","CAN",2016,15
NA,"CAN",2017,16
"DRACRA2","CAN",2018,17
"RHOINT","CAN",2018,17
"STEUMB","CAN",2018,17
NA,"CAX",2003,2
"ALLGEY","CAX",2004,3
"SWEPER","CAX",2005,4
"RHORHO","CAX",2005,4
NA,"CAX",2006,5
NA,"CAX",2007,6
NA,"CAX",2008,7
NA,"CAX",2009,8
"SAXRHO","CAX",2010,9
"POAGLA","CAX",2011,10
"PHLALP","CAX",2012,11
NA,"CAX",2013,12
NA,"CAX",2014,13
NA,"CAX",2015,14
"ERIMEL","CAX",2016,15
NA,"CAX",2017,16
NA,"CAX",2018,17
NA,"CBX",2003,2
"ERIPIN","CBX",2004,3
"BISVIV","CBX",2005,4
"PEDGRO","CBX",2005,4
NA,"CBX",2006,5
NA,"CBX",2007,6
NA,"CBX",2008,7
NA,"CBX",2009,8
NA,"CBX",2010,9
"AREFEN","CBX",2011,10
NA,"CBX",2012,11
NA,"CBX",2013,12
"POAGLA","CBX",2014,13
"RHORHO","CBX",2015,14
NA,"CBX",2016,15
"SALIX_SP1","CBX",2017,16
"SAXRHO","CBX",2018,17
"CAMROT","CBX",2018,17
NA,"CDC",2003,2
"GENPRO","CDC",2004,3
"RHORHO","CDC",2005,4
NA,"CDC",2006,5
"AREFEN","CDC",2007,6
"ALLGEY","CDC",2007,6
"SAXRHO","CDC",2008,7
"BISVIV","CDC",2008,7
NA,"CDC",2009,8
NA,"CDC",2010,9
NA,"CDC",2011,10
NA,"CDC",2012,11
NA,"CDC",2013,12
"POAGLA","CDC",2014,13
"RHOINT","CDC",2014,13
"CHIJAM","CDC",2015,14
"PRIANG","CDN",2003,2
NA,"CDN",2004,3
NA,"CDN",2005,4
"AREFEN","CDN",2006,5
"BISVIV","CDN",2006,5
"SOLMUL","CDN",2007,6
NA,"CDN",2008,7
NA,"CDN",2009,8
NA,"CDN",2010,9
NA,"CDN",2011,10
NA,"CDN",2012,11
NA,"CDN",2013,12
"CHIJAM","CDN",2014,13
"SALIX_SP1","CDN",2014,13
NA,"CDN",2015,14
"RHORHO","CDN",2016,15
"POAGLA","CDN",2017,16
"SIBPRO","CDN",2018,17
NA,"CDX",2003,2
NA,"CDX",2004,3
"RHORHO","CDX",2005,4
NA,"CDX",2006,5
NA,"CDX",2007,6
NA,"CDX",2008,7
NA,"CDX",2009,8
NA,"CDX",2010,9
NA,"CDX",2011,10
NA,"CDX",2012,11
"POAGLA","CDX",2013,12
"ALLGEY","CDX",2013,12
NA,"CDX",2014,13
NA,"CDX",2015,14
"SAXRHO","CDX",2016,15
"SOLMUL","CDX",2016,15
NA,"CDX",2017,16
"SALIX_SP1","CDX",2018,17
"SAXRHO","CXC",2003,2
NA,"CXC",2004,3
NA,"CXC",2005,4
"AREFEN","CXC",2006,5
"MINOBT","CXC",2007,6
"DANINT","CXC",2007,6
NA,"CXC",2008,7
NA,"CXC",2009,8
NA,"CXC",2010,9
"CHIJAM","CXC",2011,10
NA,"CXC",2012,11
NA,"CXC",2013,12
"POAGLA","CXC",2014,13
"PEDGRO","CXC",2014,13
"CARHET","CXC",2015,14
"LEWPYG","CXC",2015,14
NA,"CXN",2003,2
NA,"CXN",2004,3
NA,"CXN",2005,4
"AREFEN","CXN",2006,5
NA,"CXN",2007,6
NA,"CXN",2008,7
NA,"CXN",2009,8
NA,"CXN",2010,9
NA,"CXN",2011,10
NA,"CXN",2012,11
NA,"CXN",2013,12
"CASOCC","CXN",2014,13
"POAGLA","CXN",2015,14
"RHORHO","CXN",2016,15
"STEUMB","CXN",2017,16
"DRACRA2","CXN",2018,17
"BISVIV","CXN",2018,17
NA,"CXX",2003,2
"RHORHO","CXX",2004,3
"MERLAN","CXX",2004,3
NA,"CXX",2005,4
"RANADO","CXX",2006,5
"ERIPIN","CXX",2006,5
"BISVIV","CXX",2007,6
"ACHMIL","CXX",2008,7
"AREFEN","CXX",2009,8
"ALLGEY","CXX",2010,9
NA,"CXX",2011,10
NA,"CXX",2012,11
NA,"CXX",2013,12
"POAGLA","CXX",2014,13
"SWEPER","CXX",2015,14
"ERIMEL","CXX",2016,15
NA,"CXX",2017,16
"CHIJAM","CXX",2018,17
