"spp_gains","plot","year","event","rem","nut","USDA_code","USDA_name","growth_habit"
NA,"CAC",2003,2,"A","C",NA,NA,NA
"CHIJAM","CAC",2004,3,"A","C","CHJA","Chionophila jamesii","forb"
"DANINT","CAC",2004,3,"A","C","DAIN","Danthonia intermedia","graminoid"
"LUZSPI","CAC",2004,3,"A","C","LUSP4","Luzula spicata","graminoid"
NA,"CAC",2005,4,"A","C",NA,NA,NA
"AREFEN","CAC",2006,5,"A","C","ARFE3","Arenaria fendleri","forb"
"LEWPYG","CAC",2007,6,"A","C","LEPY2","Lewisia pygmaea","forb"
"POAGLA","CAC",2007,6,"A","C","POGLR2","Poa glauca ssp. rupicola","graminoid"
NA,"CAC",2008,7,"A","C",NA,NA,NA
"PACCRO","CAC",2009,8,"A","C","PACR5","Packera crocata","forb"
NA,"CAC",2010,9,"A","C",NA,NA,NA
NA,"CAC",2011,10,"A","C",NA,NA,NA
NA,"CAC",2012,11,"A","C",NA,NA,NA
NA,"CAC",2013,12,"A","C",NA,NA,NA
"CARHET","CAC",2014,13,"A","C","CAHEC","Carex heteroneura var. chalciolepis","graminoid"
"POAARC","CAC",2014,13,"A","C","POARG","Poa arctica ssp. grayana","graminoid"
"CERARV","CAC",2015,14,"A","C","CEARS2","Cerastium arvense ssp. strictum","forb"
"GENAMA","CAC",2015,14,"A","C","GEAM3","Gentianella amarella","forb"
"BISVIV","CAN",2003,2,"A","N","POVI3","Polygonum viviparum","forb"
"LEWPYG","CAN",2003,2,"A","N","LEPY2","Lewisia pygmaea","forb"
"CHIJAM","CAN",2004,3,"A","N","CHJA","Chionophila jamesii","forb"
"AREFEN","CAN",2005,4,"A","N","ARFE3","Arenaria fendleri","forb"
"DANINT","CAN",2005,4,"A","N","DAIN","Danthonia intermedia","graminoid"
"RANADO","CAN",2005,4,"A","N","RAAD","Ranunculus adoneus","forb"
"MINOBT","CAN",2006,5,"A","N","MIOB2","Minuartia obtusiloba","forb"
NA,"CAN",2007,6,"A","N",NA,NA,NA
"POAALP","CAN",2008,7,"A","N","POAL2","Poa alpina","graminoid"
"POAGLA","CAN",2009,8,"A","N","POGLR2","Poa glauca ssp. rupicola","graminoid"
NA,"CAN",2010,9,"A","N",NA,NA,NA
NA,"CAN",2011,10,"A","N",NA,NA,NA
NA,"CAN",2012,11,"A","N",NA,NA,NA
"RHOINT","CAN",2013,12,"A","N","RHIN11","Rhodiola integrifolia","forb"
"CARHET","CAN",2014,13,"A","N","CAHEC","Carex heteroneura var. chalciolepis","graminoid"
"CERARV","CAN",2015,14,"A","N","CEARS2","Cerastium arvense ssp. strictum","forb"
"GENAMA","CAN",2015,14,"A","N","GEAM3","Gentianella amarella","forb"
"STEUMB","CAN",2016,15,"A","N","STUM","Stellaria umbellata","forb"
"DRACRA2","CAN",2017,16,"A","N","DRCR2","Draba crassifolia","forb"
"CARNOV","CAN",2018,17,"A","N","CANO3","Carex nova","graminoid"
"LEWPYG","CAX",2003,2,"A","X","LEPY2","Lewisia pygmaea","forb"
"CHIJAM","CAX",2004,3,"A","X","CHJA","Chionophila jamesii","forb"
"DANINT","CAX",2004,3,"A","X","DAIN","Danthonia intermedia","graminoid"
