"lost_spp","year","event","sitekey","local_site","site","plot","rem","nut","USDA_code","USDA_name","growth_habit"
NA,2003,2,"1_CAC","Longs",1,"CAC","A","C",NA,NA,NA
NA,2004,3,"1_CAC","Longs",1,"CAC","A","C",NA,NA,NA
NA,2005,4,"1_CAC","Longs",1,"CAC","A","C",NA,NA,NA
NA,2006,5,"1_CAC","Longs",1,"CAC","A","C",NA,NA,NA
NA,2007,6,"1_CAC","Longs",1,"CAC","A","C",NA,NA,NA
NA,2008,7,"1_CAC","Longs",1,"CAC","A","C",NA,NA,NA
NA,2009,8,"1_CAC","Longs",1,"CAC","A","C",NA,NA,NA
NA,2010,9,"1_CAC","Longs",1,"CAC","A","C",NA,NA,NA
NA,2011,10,"1_CAC","Longs",1,"CAC","A","C",NA,NA,NA
NA,2012,11,"1_CAC","Longs",1,"CAC","A","C",NA,NA,NA
NA,2013,12,"1_CAC","Longs",1,"CAC","A","C",NA,NA,NA
"POAGLA",2014,13,"1_CAC","Longs",1,"CAC","A","C","POGLR2","Poa glauca ssp. rupicola","graminoid"
NA,2015,14,"1_CAC","Longs",1,"CAC","A","C",NA,NA,NA
"CARSCO",2003,2,"2_CAC","Edge",2,"CAC","A","C","CASCS2","Carex scopulorum var. scopulorum","graminoid"
NA,2004,3,"2_CAC","Edge",2,"CAC","A","C",NA,NA,NA
NA,2005,4,"2_CAC","Edge",2,"CAC","A","C",NA,NA,NA
NA,2006,5,"2_CAC","Edge",2,"CAC","A","C",NA,NA,NA
NA,2007,6,"2_CAC","Edge",2,"CAC","A","C",NA,NA,NA
NA,2008,7,"2_CAC","Edge",2,"CAC","A","C",NA,NA,NA
"CASOCC",2009,8,"2_CAC","Edge",2,"CAC","A","C","CAOC4","Castilleja occidentalis","forb"
NA,2010,9,"2_CAC","Edge",2,"CAC","A","C",NA,NA,NA
NA,2011,10,"2_CAC","Edge",2,"CAC","A","C",NA,NA,NA
NA,2012,11,"2_CAC","Edge",2,"CAC","A","C",NA,NA,NA
"CALLEP",2013,12,"2_CAC","Edge",2,"CAC","A","C","CALE4","Caltha leptosepala","forb"
NA,2014,13,"2_CAC","Edge",2,"CAC","A","C",NA,NA,NA
NA,2015,14,"2_CAC","Edge",2,"CAC","A","C",NA,NA,NA
"BISVIV",2003,2,"3_CAC","Edge",3,"CAC","A","C","POVI3","Polygonum viviparum","forb"
"POTDIV",2003,2,"3_CAC","Edge",3,"CAC","A","C","PODI2","Potentilla diversifolia","forb"
"SIBPRO",2003,2,"3_CAC","Edge",3,"CAC","A","C","SIPR","Sibbaldia procumbens","forb"
NA,2004,3,"3_CAC","Edge",3,"CAC","A","C",NA,NA,NA
NA,2005,4,"3_CAC","Edge",3,"CAC","A","C",NA,NA,NA
NA,2006,5,"3_CAC","Edge",3,"CAC","A","C",NA,NA,NA
NA,2007,6,"3_CAC","Edge",3,"CAC","A","C",NA,NA,NA
NA,2008,7,"3_CAC","Edge",3,"CAC","A","C",NA,NA,NA
NA,2009,8,"3_CAC","Edge",3,"CAC","A","C",NA,NA,NA
"CHIJAM",2010,9,"3_CAC","Edge",3,"CAC","A","C","CHJA","Chionophila jamesii","forb"
NA,2011,10,"3_CAC","Edge",3,"CAC","A","C",NA,NA,NA
NA,2012,11,"3_CAC","Edge",3,"CAC","A","C",NA,NA,NA
"STELON",2013,12,"3_CAC","Edge",3,"CAC","A","C","STLOL7","Stellaria longipes ssp. longipes","forb"
NA,2014,13,"3_CAC","Edge",3,"CAC","A","C",NA,NA,NA
NA,2015,14,"3_CAC","Edge",3,"CAC","A","C",NA,NA,NA
NA,2003,2,"4_CAC","Tundra Lab",4,"CAC","A","C",NA,NA,NA
NA,2004,3,"4_CAC","Tundra Lab",4,"CAC","A","C",NA,NA,NA
NA,2005,4,"4_CAC","Tundra Lab",4,"CAC","A","C",NA,NA,NA
NA,2006,5,"4_CAC","Tundra Lab",4,"CAC","A","C",NA,NA,NA
NA,2007,6,"4_CAC","Tundra Lab",4,"CAC","A","C",NA,NA,NA
"MERLAN",2008,7,"4_CAC","Tundra Lab",4,"CAC","A","C","MELA3","Mertensia lanceolata","forb"
"CHIJAM",2009,8,"4_CAC","Tundra Lab",4,"CAC","A","C","CHJA","Chionophila jamesii","forb"
"STELON",2009,8,"4_CAC","Tundra Lab",4,"CAC","A","C","STLOL7","Stellaria longipes ssp. longipes","forb"
"LLOSER",2010,9,"4_CAC","Tundra Lab",4,"CAC","A","C","LLSE","Lloydia serotina","forb"
NA,2011,10,"4_CAC","Tundra Lab",4,"CAC","A","C",NA,NA,NA
NA,2012,11,"4_CAC","Tundra Lab",4,"CAC","A","C",NA,NA,NA
NA,2013,12,"4_CAC","Tundra Lab",4,"CAC","A","C",NA,NA,NA
"CARSCO",2014,13,"4_CAC","Tundra Lab",4,"CAC","A","C","CASCS2","Carex scopulorum var. scopulorum","graminoid"
NA,2015,14,"4_CAC","Tundra Lab",4,"CAC","A","C",NA,NA,NA
"BISVIV",2003,2,"5_CAC","Watershed",5,"CAC","A","C","POVI3","Polygonum viviparum","forb"
"GENALG",2003,2,"5_CAC","Watershed",5,"CAC","A","C","GEAL2","Gentiana algida","forb"
NA,2004,3,"5_CAC","Watershed",5,"CAC","A","C",NA,NA,NA
"CHIJAM",2005,4,"5_CAC","Watershed",5,"CAC","A","C","CHJA","Chionophila jamesii","forb"
"TRISPI",2005,4,"5_CAC","Watershed",5,"CAC","A","C","TRSP2","Trisetum spicatum","graminoid"
NA,2006,5,"5_CAC","Watershed",5,"CAC","A","C",NA,NA,NA
NA,2007,6,"5_CAC","Watershed",5,"CAC","A","C",NA,NA,NA
NA,2008,7,"5_CAC","Watershed",5,"CAC","A","C",NA,NA,NA
"POAGLA",2009,8,"5_CAC","Watershed",5,"CAC","A","C","POGLR2","Poa glauca ssp. rupicola","graminoid"
"LUZSPI",2010,9,"5_CAC","Watershed",5,"CAC","A","C","LUSP4","Luzula spicata","graminoid"
"CARSCO",2011,10,"5_CAC","Watershed",5,"CAC","A","C","CASCS2","Carex scopulorum var. scopulorum","graminoid"
NA,2012,11,"5_CAC","Watershed",5,"CAC","A","C",NA,NA,NA
NA,2013,12,"5_CAC","Watershed",5,"CAC","A","C",NA,NA,NA
NA,2014,13,"5_CAC","Watershed",5,"CAC","A","C",NA,NA,NA
"LLOSER",2015,14,"5_CAC","Watershed",5,"CAC","A","C","LLSE","Lloydia serotina","forb"
"TRISPI",2003,2,"6_CAC","Lefty",6,"CAC","A","C","TRSP2","Trisetum spicatum","graminoid"
NA,2004,3,"6_CAC","Lefty",6,"CAC","A","C",NA,NA,NA
"BISVIV",2005,4,"6_CAC","Lefty",6,"CAC","A","C","POVI3","Polygonum viviparum","forb"
"PHLALP",2005,4,"6_CAC","Lefty",6,"CAC","A","C","PHAL2","Phleum alpinum","graminoid"
"STELON",2005,4,"6_CAC","Lefty",6,"CAC","A","C","STLOL7","Stellaria longipes ssp. longipes","forb"
"CASOCC",2006,5,"6_CAC","Lefty",6,"CAC","A","C","CAOC4","Castilleja occidentalis","forb"
"GENALG",2006,5,"6_CAC","Lefty",6,"CAC","A","C","GEAL2","Gentiana algida","forb"
NA,2007,6,"6_CAC","Lefty",6,"CAC","A","C",NA,NA,NA
NA,2008,7,"6_CAC","Lefty",6,"CAC","A","C",NA,NA,NA
NA,2009,8,"6_CAC","Lefty",6,"CAC","A","C",NA,NA,NA
NA,2010,9,"6_CAC","Lefty",6,"CAC","A","C",NA,NA,NA
"POAGLA",2011,10,"6_CAC","Lefty",6,"CAC","A","C","POGLR2","Poa glauca ssp. rupicola","graminoid"
"TRIPAR",2012,11,"6_CAC","Lefty",6,"CAC","A","C","TRPAP","Trifolium parryi ssp. parryi","forb"
NA,2013,12,"6_CAC","Lefty",6,"CAC","A","C",NA,NA,NA
"LEWPYG",2014,13,"6_CAC","Lefty",6,"CAC","A","C","LEPY2","Lewisia pygmaea","forb"
NA,2015,14,"6_CAC","Lefty",6,"CAC","A","C",NA,NA,NA
"ERISIM",2003,2,"7_CAC","Subalpine",7,"CAC","A","C","ERSI3","Erigeron simplex","forb"
