"spp_gains","event","year","sitekey","local_site","site","plot","rem","nut","USDA_code","USDA_name","growth_habit"
NA,2,2003,"1_CAC","Longs",1,"CAC","A","C",NA,NA,NA
NA,3,2004,"1_CAC","Longs",1,"CAC","A","C",NA,NA,NA
"FESBRA",4,2005,"1_CAC","Longs",1,"CAC","A","C","FEBR","Festuca brachyphylla","graminoid"
NA,5,2006,"1_CAC","Longs",1,"CAC","A","C",NA,NA,NA
NA,6,2007,"1_CAC","Longs",1,"CAC","A","C",NA,NA,NA
NA,7,2008,"1_CAC","Longs",1,"CAC","A","C",NA,NA,NA
NA,8,2009,"1_CAC","Longs",1,"CAC","A","C",NA,NA,NA
"POAGLA",9,2010,"1_CAC","Longs",1,"CAC","A","C","POGLR2","Poa glauca ssp. rupicola","graminoid"
NA,10,2011,"1_CAC","Longs",1,"CAC","A","C",NA,NA,NA
NA,11,2012,"1_CAC","Longs",1,"CAC","A","C",NA,NA,NA
NA,12,2013,"1_CAC","Longs",1,"CAC","A","C",NA,NA,NA
"POAARC",13,2014,"1_CAC","Longs",1,"CAC","A","C","POARG","Poa arctica ssp. grayana","graminoid"
NA,14,2015,"1_CAC","Longs",1,"CAC","A","C",NA,NA,NA
"CASOCC",2,2003,"2_CAC","Edge",2,"CAC","A","C","CAOC4","Castilleja occidentalis","forb"
"STELON",2,2003,"2_CAC","Edge",2,"CAC","A","C","STLOL7","Stellaria longipes ssp. longipes","forb"
NA,3,2004,"2_CAC","Edge",2,"CAC","A","C",NA,NA,NA
NA,4,2005,"2_CAC","Edge",2,"CAC","A","C",NA,NA,NA
NA,5,2006,"2_CAC","Edge",2,"CAC","A","C",NA,NA,NA
NA,6,2007,"2_CAC","Edge",2,"CAC","A","C",NA,NA,NA
NA,7,2008,"2_CAC","Edge",2,"CAC","A","C",NA,NA,NA
NA,8,2009,"2_CAC","Edge",2,"CAC","A","C",NA,NA,NA
NA,9,2010,"2_CAC","Edge",2,"CAC","A","C",NA,NA,NA
NA,10,2011,"2_CAC","Edge",2,"CAC","A","C",NA,NA,NA
NA,11,2012,"2_CAC","Edge",2,"CAC","A","C",NA,NA,NA
NA,12,2013,"2_CAC","Edge",2,"CAC","A","C",NA,NA,NA
NA,13,2014,"2_CAC","Edge",2,"CAC","A","C",NA,NA,NA
NA,14,2015,"2_CAC","Edge",2,"CAC","A","C",NA,NA,NA
NA,2,2003,"3_CAC","Edge",3,"CAC","A","C",NA,NA,NA
NA,3,2004,"3_CAC","Edge",3,"CAC","A","C",NA,NA,NA
NA,4,2005,"3_CAC","Edge",3,"CAC","A","C",NA,NA,NA
NA,5,2006,"3_CAC","Edge",3,"CAC","A","C",NA,NA,NA
NA,6,2007,"3_CAC","Edge",3,"CAC","A","C",NA,NA,NA
NA,7,2008,"3_CAC","Edge",3,"CAC","A","C",NA,NA,NA
"CHIJAM",8,2009,"3_CAC","Edge",3,"CAC","A","C","CHJA","Chionophila jamesii","forb"
NA,9,2010,"3_CAC","Edge",3,"CAC","A","C",NA,NA,NA
NA,10,2011,"3_CAC","Edge",3,"CAC","A","C",NA,NA,NA
"STELON",11,2012,"3_CAC","Edge",3,"CAC","A","C","STLOL7","Stellaria longipes ssp. longipes","forb"
NA,12,2013,"3_CAC","Edge",3,"CAC","A","C",NA,NA,NA
NA,13,2014,"3_CAC","Edge",3,"CAC","A","C",NA,NA,NA
"GENAMA",14,2015,"3_CAC","Edge",3,"CAC","A","C","GEAM3","Gentianella amarella","forb"
NA,2,2003,"4_CAC","Tundra Lab",4,"CAC","A","C",NA,NA,NA
"RANADO",3,2004,"4_CAC","Tundra Lab",4,"CAC","A","C","RAAD","Ranunculus adoneus","forb"
"MERLAN",4,2005,"4_CAC","Tundra Lab",4,"CAC","A","C","MELA3","Mertensia lanceolata","forb"
NA,5,2006,"4_CAC","Tundra Lab",4,"CAC","A","C",NA,NA,NA
"FESBRA",6,2007,"4_CAC","Tundra Lab",4,"CAC","A","C","FEBR","Festuca brachyphylla","graminoid"
"LLOSER",6,2007,"4_CAC","Tundra Lab",4,"CAC","A","C","LLSE","Lloydia serotina","forb"
"STELON",6,2007,"4_CAC","Tundra Lab",4,"CAC","A","C","STLOL7","Stellaria longipes ssp. longipes","forb"
"CHIJAM",7,2008,"4_CAC","Tundra Lab",4,"CAC","A","C","CHJA","Chionophila jamesii","forb"
NA,8,2009,"4_CAC","Tundra Lab",4,"CAC","A","C",NA,NA,NA
NA,9,2010,"4_CAC","Tundra Lab",4,"CAC","A","C",NA,NA,NA
NA,10,2011,"4_CAC","Tundra Lab",4,"CAC","A","C",NA,NA,NA
NA,11,2012,"4_CAC","Tundra Lab",4,"CAC","A","C",NA,NA,NA
NA,12,2013,"4_CAC","Tundra Lab",4,"CAC","A","C",NA,NA,NA
"CARHET",13,2014,"4_CAC","Tundra Lab",4,"CAC","A","C","CAHEC","Carex heteroneura var. chalciolepis","graminoid"
"MINOBT",14,2015,"4_CAC","Tundra Lab",4,"CAC","A","C","MIOB2","Minuartia obtusiloba","forb"
"PHLALP",2,2003,"5_CAC","Watershed",5,"CAC","A","C","PHAL2","Phleum alpinum","graminoid"
"CHIJAM",3,2004,"5_CAC","Watershed",5,"CAC","A","C","CHJA","Chionophila jamesii","forb"
"LUZSPI",3,2004,"5_CAC","Watershed",5,"CAC","A","C","LUSP4","Luzula spicata","graminoid"
"TRISPI",3,2004,"5_CAC","Watershed",5,"CAC","A","C","TRSP2","Trisetum spicatum","graminoid"
"STELON",4,2005,"5_CAC","Watershed",5,"CAC","A","C","STLOL7","Stellaria longipes ssp. longipes","forb"
"POAALP",5,2006,"5_CAC","Watershed",5,"CAC","A","C","POAL2","Poa alpina","graminoid"
"POAGLA",6,2007,"5_CAC","Watershed",5,"CAC","A","C","POGLR2","Poa glauca ssp. rupicola","graminoid"
NA,7,2008,"5_CAC","Watershed",5,"CAC","A","C",NA,NA,NA
NA,8,2009,"5_CAC","Watershed",5,"CAC","A","C",NA,NA,NA
NA,9,2010,"5_CAC","Watershed",5,"CAC","A","C",NA,NA,NA
NA,10,2011,"5_CAC","Watershed",5,"CAC","A","C",NA,NA,NA
NA,11,2012,"5_CAC","Watershed",5,"CAC","A","C",NA,NA,NA
"LLOSER",12,2013,"5_CAC","Watershed",5,"CAC","A","C","LLSE","Lloydia serotina","forb"
NA,13,2014,"5_CAC","Watershed",5,"CAC","A","C",NA,NA,NA
NA,14,2015,"5_CAC","Watershed",5,"CAC","A","C",NA,NA,NA
"BISVIV",2,2003,"6_CAC","Lefty",6,"CAC","A","C","POVI3","Polygonum viviparum","forb"
"PHLALP",3,2004,"6_CAC","Lefty",6,"CAC","A","C","PHAL2","Phleum alpinum","graminoid"
"STELON",3,2004,"6_CAC","Lefty",6,"CAC","A","C","STLOL7","Stellaria longipes ssp. longipes","forb"
"LUZSPI",4,2005,"6_CAC","Lefty",6,"CAC","A","C","LUSP4","Luzula spicata","graminoid"
"TRIPAR",4,2005,"6_CAC","Lefty",6,"CAC","A","C","TRPAP","Trifolium parryi ssp. parryi","forb"
NA,5,2006,"6_CAC","Lefty",6,"CAC","A","C",NA,NA,NA
"LEWPYG",6,2007,"6_CAC","Lefty",6,"CAC","A","C","LEPY2","Lewisia pygmaea","forb"
NA,7,2008,"6_CAC","Lefty",6,"CAC","A","C",NA,NA,NA
"POAGLA",8,2009,"6_CAC","Lefty",6,"CAC","A","C","POGLR2","Poa glauca ssp. rupicola","graminoid"
NA,9,2010,"6_CAC","Lefty",6,"CAC","A","C",NA,NA,NA
"DANINT",10,2011,"6_CAC","Lefty",6,"CAC","A","C","DAIN","Danthonia intermedia","graminoid"
NA,11,2012,"6_CAC","Lefty",6,"CAC","A","C",NA,NA,NA
NA,12,2013,"6_CAC","Lefty",6,"CAC","A","C",NA,NA,NA
NA,13,2014,"6_CAC","Lefty",6,"CAC","A","C",NA,NA,NA
NA,14,2015,"6_CAC","Lefty",6,"CAC","A","C",NA,NA,NA
"BISBIS",2,2003,"7_CAC","Subalpine",7,"CAC","A","C","POBI6","Polygonum bistortoides","forb"
"CARSCO",3,2004,"7_CAC","Subalpine",7,"CAC","A","C","CASCS2","Carex scopulorum var. scopulorum","graminoid"
"DANINT",3,2004,"7_CAC","Subalpine",7,"CAC","A","C","DAIN","Danthonia intermedia","graminoid"
"TRIPAR",4,2005,"7_CAC","Subalpine",7,"CAC","A","C","TRPAP","Trifolium parryi ssp. parryi","forb"
"AREFEN",5,2006,"7_CAC","Subalpine",7,"CAC","A","C","ARFE3","Arenaria fendleri","forb"
NA,6,2007,"7_CAC","Subalpine",7,"CAC","A","C",NA,NA,NA
NA,7,2008,"7_CAC","Subalpine",7,"CAC","A","C",NA,NA,NA
"PACCRO",8,2009,"7_CAC","Subalpine",7,"CAC","A","C","PACR5","Packera crocata","forb"
