"spp_gains","type","year","event","USDA_name"
"POAL2","MM",1990,2,"Poa alpina"
"POARG","MM",1990,2,"Poa arctica ssp. grayana"
"SARH2","MM",1990,2,"Saxifraga rhomboidea"
"TRDA2","MM",1990,2,"Trifolium dasyphyllum"
"TRSP2","MM",1990,2,"Trisetum spicatum"
"MEOB","MM",1995,3,"Mertensia oblongifolia"
"ARFEF3","MM",1997,4,"Arenaria fendleri var. fendleri"
"STLO2","MM",1997,4,"Stellaria longipes"
"CALA10","MM",2006,5,"Carex lachenalii"
"CEARS2","MM",2006,5,"Cerastium arvense ssp. strictum"
"SOSIN","MM",2006,5,"Solidago simplex ssp. simplex var. nana"
"CAPY3","MM",2008,6,"Carex pyrenaica"
"PHPU5","MM",2008,6,"Phlox pulvinata"
NA,"MM",2010,7,NA
"CAPE12","MM",2011,8,"Carex perglobosa"
"CAPH2","MM",2011,8,"Carex phaeocephala"
"ANME2","MM",2012,9,"Antennaria media"
"TEGR3","MM",2012,9,"Tetraneuris grandiflora"
"TOPY","MM",2013,10,"Tonestus pygmaeus"
"CAHA6","MM",2014,11,"Carex haydeniana"
"MIRU3","MM",2014,11,"Minuartia rubella"
"GEAMA","MM",2015,12,"Gentianella amarella ssp. acuta"
NA,"MM",2016,13,NA
"OXDI3","SB",1990,2,"Oxyria digyna"
"POARG","SB",1990,2,"Poa arctica ssp. grayana"
"POGLR2","SB",1990,2,"Poa glauca ssp. rupicola"
"RHRH4","SB",1990,2,"Rhodiola rhodantha"
"SOMU","SB",1990,2,"Solidago multiradiata"
"ANME2","SB",1995,3,"Antennaria media"
"CHANA2","SB",1995,3,"Chamerion angustifolium ssp. angustifolium"
"SEFRB","SB",1995,3,"Senecio fremontii var. blitoides"
"STLO2","SB",1995,3,"Stellaria longipes"
"CAPU","SB",1997,4,"Calamagrostis purpurascens"
"ORALA","SB",1997,4,"Oreoxis alpina ssp. alpina"
"ARFEF3","SB",2006,5,"Arenaria fendleri var. fendleri"
"PEGR2","SB",2006,5,"Pedicularis groenlandica"
"SOSIN","SB",2006,5,"Solidago simplex ssp. simplex var. nana"
"GEAL2","SB",2008,6,"Gentiana algida"
"DRAU","SB",2010,7,"Draba aurea"
"CAHA6","SB",2011,8,"Carex haydeniana"
"PACR5","SB",2012,9,"Packera crocata"
"EPAN4","SB",2013,10,"Epilobium anagallidifolium"
"KOMY","SB",2013,10,"Kobresia myosuroides"
NA,"SB",2014,11,NA
"PHAL2","SB",2015,12,"Phleum alpinum"
"VEWO2","SB",2015,12,"Veronica wormskjoldii"
NA,"SB",2016,13,NA
"CACA13","WM",1990,2,"Carex capitata"
