"lost_spp","year","event","plot","type","USDA_name"
NA,1990,2,2,"MM",NA
NA,1995,3,2,"MM",NA
NA,1997,4,2,"MM",NA
NA,2006,5,2,"MM",NA
"POARG",2008,6,2,"MM","Poa arctica ssp. grayana"
NA,2010,7,2,"MM",NA
"PODI2",2011,8,2,"MM","Potentilla diversifolia"
"ERSI3",2011,8,2,"MM","Erigeron simplex"
"CAOC4",2012,9,2,"MM","Castilleja occidentalis"
NA,2013,10,2,"MM",NA
NA,2014,11,2,"MM",NA
"ARSC",2015,12,2,"MM","Artemisia scopulorum"
"RAAD",2016,13,2,"MM","Ranunculus adoneus"
"POAL2",2016,13,2,"MM","Poa alpina"
NA,1990,2,3,"MM",NA
"POBI6",1995,3,3,"MM","Polygonum bistortoides"
"MEOB",1997,4,3,"MM","Mertensia oblongifolia"
"POVI3",1997,4,3,"MM","Polygonum viviparum"
"POARG",2006,5,3,"MM","Poa arctica ssp. grayana"
NA,2008,6,3,"MM",NA
NA,2010,7,3,"MM",NA
NA,2011,8,3,"MM",NA
NA,2012,9,3,"MM",NA
"CASCS2",2013,10,3,"MM","Carex scopulorum var. scopulorum"
"TRPAP",2014,11,3,"MM","Trifolium parryi ssp. parryi"
NA,2015,12,3,"MM",NA
"DECE",2016,13,3,"MM","Deschampsia cespitosa"
NA,1990,2,4,"MM",NA
NA,1995,3,4,"MM",NA
NA,1997,4,4,"MM",NA
"POVI3",2006,5,4,"MM","Polygonum viviparum"
NA,2008,6,4,"MM",NA
"CASCS2",2010,7,4,"MM","Carex scopulorum var. scopulorum"
NA,2011,8,4,"MM",NA
NA,2012,9,4,"MM",NA
NA,2013,10,4,"MM",NA
NA,2014,11,4,"MM",NA
NA,2015,12,4,"MM",NA
"RAAD",2016,13,4,"MM","Ranunculus adoneus"
NA,1990,2,5,"SB",NA
NA,1995,3,5,"SB",NA
NA,1997,4,5,"SB",NA
NA,2006,5,5,"SB",NA
NA,2008,6,5,"SB",NA
NA,2010,7,5,"SB",NA
NA,2011,8,5,"SB",NA
NA,2012,9,5,"SB",NA
NA,2013,10,5,"SB",NA
"CHJA",2014,11,5,"SB","Chionophila jamesii"
"LEPY2",2015,12,5,"SB","Lewisia pygmaea"
"TRSP2",2015,12,5,"SB","Trisetum spicatum"
"ERSI3",2016,13,5,"SB","Erigeron simplex"
"RAAD",2016,13,5,"SB","Ranunculus adoneus"
"CAOC4",1990,2,6,"SB","Castilleja occidentalis"
"POVI3",1990,2,6,"SB","Polygonum viviparum"
"SOMU",1995,3,6,"SB","Solidago multiradiata"
NA,1997,4,6,"SB",NA
"POARG",2006,5,6,"SB","Poa arctica ssp. grayana"
NA,2008,6,6,"SB",NA
"GEAL2",2010,7,6,"SB","Gentiana algida"
"SIACS2",2011,8,6,"SB","Silene acaulis var. subacaulescens"
NA,2012,9,6,"SB",NA
NA,2013,10,6,"SB",NA
"CHJA",2014,11,6,"SB","Chionophila jamesii"
"ARFEF3",2015,12,6,"SB","Arenaria fendleri var. fendleri"
NA,2016,13,6,"SB",NA
