"spp_gains","event","year","plot","type","USDA_name"
NA,2,1990,2,"MM",NA
"RAAD",3,1995,2,"MM","Ranunculus adoneus"
"CAOC4",3,1995,2,"MM","Castilleja occidentalis"
"POARG",4,1997,2,"MM","Poa arctica ssp. grayana"
"ARSC",5,2006,2,"MM","Artemisia scopulorum"
NA,6,2008,2,"MM",NA
"PODI2",7,2010,2,"MM","Potentilla diversifolia"
"ERSI3",7,2010,2,"MM","Erigeron simplex"
NA,8,2011,2,"MM",NA
NA,9,2012,2,"MM",NA
NA,10,2013,2,"MM",NA
NA,11,2014,2,"MM",NA
"POAL2",12,2015,2,"MM","Poa alpina"
NA,13,2016,2,"MM",NA
NA,2,1990,3,"MM",NA
"POARG",3,1995,3,"MM","Poa arctica ssp. grayana"
"MEOB",3,1995,3,"MM","Mertensia oblongifolia"
"TRPAP",3,1995,3,"MM","Trifolium parryi ssp. parryi"
"POVI3",3,1995,3,"MM","Polygonum viviparum"
NA,4,1997,3,"MM",NA
NA,5,2006,3,"MM",NA
NA,6,2008,3,"MM",NA
NA,7,2010,3,"MM",NA
NA,8,2011,3,"MM",NA
"DECE",9,2012,3,"MM","Deschampsia cespitosa"
NA,10,2013,3,"MM",NA
NA,11,2014,3,"MM",NA
"TRSP2",12,2015,3,"MM","Trisetum spicatum"
NA,13,2016,3,"MM",NA
NA,2,1990,4,"MM",NA
NA,3,1995,4,"MM",NA
"POVI3",4,1997,4,"MM","Polygonum viviparum"
"LUSP4",5,2006,4,"MM","Luzula spicata"
"SIPR",5,2006,4,"MM","Sibbaldia procumbens"
"CASCS2",6,2008,4,"MM","Carex scopulorum var. scopulorum"
NA,7,2010,4,"MM",NA
NA,8,2011,4,"MM",NA
NA,9,2012,4,"MM",NA
NA,10,2013,4,"MM",NA
NA,11,2014,4,"MM",NA
NA,12,2015,4,"MM",NA
NA,13,2016,4,"MM",NA
"CHJA",2,1990,5,"SB","Chionophila jamesii"
"LEPY2",2,1990,5,"SB","Lewisia pygmaea"
NA,3,1995,5,"SB",NA
NA,4,1997,5,"SB",NA
"LUSP4",5,2006,5,"SB","Luzula spicata"
"RAAD",5,2006,5,"SB","Ranunculus adoneus"
NA,6,2008,5,"SB",NA
NA,7,2010,5,"SB",NA
NA,8,2011,5,"SB",NA
NA,9,2012,5,"SB",NA
NA,10,2013,5,"SB",NA
"TRSP2",11,2014,5,"SB","Trisetum spicatum"
NA,12,2015,5,"SB",NA
NA,13,2016,5,"SB",NA
"SOMU",2,1990,6,"SB","Solidago multiradiata"
"TRSP2",2,1990,6,"SB","Trisetum spicatum"
NA,3,1995,6,"SB",NA
"POARG",4,1997,6,"SB","Poa arctica ssp. grayana"
"SIACS2",5,2006,6,"SB","Silene acaulis var. subacaulescens"
"FEBR",5,2006,6,"SB","Festuca brachyphylla"
"SEDES",6,2008,6,"SB","Selaginella densa var. scopulorum"
"GEAL2",6,2008,6,"SB","Gentiana algida"
NA,7,2010,6,"SB",NA
